,end_pos,file,line,start_pos,text,Y,Predicted_Values
1231,165,ML14087A338.txt,144,0,"['action', 'to', 'develop', 'tool', 'to', 'compile', 'results', 'and', 'findings', 'that', 'would', 'provide', 'more', 'effective', 'retrieval', 'of', 'history', 'related', 'to', 'structural']",P,P
1391,1550,ML14087A338.txt,170,1276,"['although', 'the', 'licensee', 'would', 'revise', 'technical', 'specification', 'or', 'shut', 'down', 'prior', 'to', 'exceeding', 'effective', 'full', 'power', 'the', 'team', 'concluded', 'the', 'licensee', 'had', 'not', 'met', 'the', 'conditions', 'for', 'meeting', 'this', 'aging', 'analysis', 'prior', 'to', 'the', 'period', 'of', 'extended']",P,O
1763,2784,ML12027A131.txt,99,2497,"['green', 'nrc', 'identified', 'ncv', 'of', 'unit', 'operating', 'license', 'condition', 'and', 'unit', 'operating', 'license', 'condition', 'for', 'failure', 'to', 'implement', 'and', 'maintain', 'in', 'effect', 'all', 'provisions', 'of', 'the', 'approved', 'fire', 'protection', 'program', 'as', 'described', 'in', 'the', 'fsar', 'for', 'the']",O,O
2312,2224,ML13298A103.txt,58,1929,"['these', 'issues', 'the', 'use', 'of', 'helium', 'as', 'the', 'purging', 'the', 'rki', 'eagle', 'monitor', 'used', 'at', 'nmp', 'had', 'not', 'been', 'calibrated', 'for', 'its', 'intended', 'use', 'or', 'properly', 'and', 'the', 'sample', 'line', 'from', 'cask', 'to', 'the', 'instrument', 'was', 'to', 'feet', 'long', 'with', 'several', 'low', 'spots', 'where', 'water', 'was', 'found', 'to', 'be', 'in', 'the']",D,P
2497,1736,ML11244A041.txt,29,1607,"['additional', 'deficiencies', 'were', 'identified', 'with', 'the', 'conduct', 'and', 'quality', 'of', 'operability', 'determinations', 'and', 'reportability']",O,O
2610,1017,ML11244A041.txt,65,892,"['the', 'inspectors', 'also', 'noted', 'that', 'in', 'some', 'instances', 'reportability', 'evaluations', 'were', 'not', 'conducted', 'until', 'the', 'nrc', 'raised']",O,O
2642,2713,ML11244A041.txt,67,2479,"['the', 'area', 'that', 'most', 'personnel', 'interviewed', 'would', 'like', 'to', 'see', 'more', 'improvement', 'was', 'to', 'have', 'more', 'input', 'for', 'their', 'issues', 'that', 'were', 'dispositioned', 'as', 'closed', 'to', 'actions', 'taken', 'to', 'ensure', 'the', 'issue', 'was', 'properly', 'understood', 'and']",O,O
2649,279,ML11244A041.txt,69,213,"['the', 'ar', 'initiator', 'was', 'not', 'consulted', 'or', 'satisfied', 'with', 'this']",O,O
2702,2770,ML11244A041.txt,73,2413,"['during', 'the', 'the', 'inspectors', 'noted', 'that', 'most', 'of', 'the', 'especially', 'those', 'not', 'associated', 'with', 'were', 'not', 'aware', 'of', 'the', 'existing', 'steam', 'leak', 'on', 'the', 'secondary', 'side', 'of', 'the', 'unit', 'steam', 'generator', 'or', 'plant', 'basis', 'to', 'conclude', 'it', 'was', 'acceptable', 'to', 'continue', 'to', 'operate', 'the', 'unit', 'rather', 'that', 'shutdown', 'to', 'fix', 'the']",O,O
2752,2093,ML11244A041.txt,117,0,"['potential', 'with', 'np', 'requirements', 'helb', 'penetration', 'potential', 'spec', 'inadequate', 'closure', 'of', 'inadequate', 'cold', 'weather', 'preparation', 'cap', 'closure', 'inadequate', 'implementation', 'of', 'bechtel', 'qa', 'program', 'sfp', 'cooler', 'shell', 'side', 'fouling', 'mussel', 'cap', 'inadequate', 'closure', 'monthly', 'test', 'failure', 'functionality', 'assessment', 'process', 'shortfalls', 'fire', 'seals', 'at', 'are', 'deficient', 'dc', 'bus', 'bar', 'ampacity', 'condition', 'indicates', 'intermediate', 'in', 'the', 'control', 'room', 'indicates', 'intermediate', 'in', 'the', 'control', 'room', 'indicates', 'intermediate', 'in', 'the', 'control', 'room', 'leaks', 'by', 'gpm', 'during', 'received', 'ppcs', 'alarm', 'cntnt', 'hi', 'range', 'rad', 'sr', 'ni', 'sur', 'spike', 'on', 'both', 'channels', 'when', 'shifting', 'modes', 'on', 'csds', 'channel', 'failed', 'to', 'indicate', 'when', 'energized', 'isolation', 'amp', 'output', 'to', 'ppcs', 'left', 'out', 'of', 'tolerance', 'pmo', 'change', 'may', 'not', 'be', 'appropriate', 'system', 'server', 'receives', 'fail', 'low', 'at', 'midnight', 'with', 'helb', 'requirements', 'waste', 'water', 'effluent', 'rad', 'monitor', 'fail', 'external', 'alarms', 'unit', 'containment', 'low', 'range', 'monitor', 'spike', 'high', 'discovered', 'ba', 'evap', 'cc', 'supply', 'throttled', 'outdated', 'helb', 'barrier', 'postings', 'drumming', 'area', 'vent', 'stack', 'had', 'multiple', 'alert', 'alarms', 'secured', 'without', 'notifying', 'rp', 'ace', 'quality', 'did', 'not', 'meet', 'expectations', 'ace', 'quality', 'did', 'not', 'meet', 'expectations', 'unit', 'condenser', 'fouling', 'increase', 'containment', 'paint', 'chips', 'and', 'dust', 'on', 'sump', 'pump', 'screen', 'inappropriate', 'cap', 'closure', 'out', 'of', 'tolerance', 'control', 'room', 'alarms', 'disabled', 'during', 'epu', 'mod', 'fission', 'channel', 'oos', 'greater', 'than', 'days', 'new', 'afw', 'meter', 'faces', 'are', 'not', 'labeled', 'properly', 'unit', 'reactor', 'startup', 'was', 'aborted', 'helb', 'door', 'not', 'closing', 'properly', 'ldgs', 'building', 'rad', 'monitor', 'alert', 'alarm', 'cw', 'system', 'yellow', 'work', 'order', 'closed', 'with', 'work', 'not', 'performed', 'elevated', 'and', 'ace', 'failed', 'to', 'meet', 'minimum', 'requirements', 'helb', 'barrier', 'controls', 'from', 'ar', 'effect', 'of', 'breached', 'helb', 'barrier', 'on', 'tech', 'spec', 'equipment']",O,O
3234,2515,ML13182A476.txt,56,2401,"['the', 'team', 'also', 'noted', 'that', 'the', 'phone', 'extensions', 'that', 'were', 'provided', 'would', 'not', 'be', 'helpful', 'in', 'acquiring']",O,O
