,Unnamed: 0,text,line,start_pos,end_pos,file,Y,Predicted_Values
4481,1669,"['the', 'finding', 'has', 'aspect', 'in', 'the', 'area', 'of', 'human', 'performance', 'because', 'pseg', 'personnel', 'did', 'not', 'use', 'human', 'error', 'prevention', 'techniques']",105,3086,3235,ML072260460.txt,T,T
4542,1730,"['the', 'finding', 'has', 'aspect', 'in', 'the', 'area', 'of', 'human', 'performance', 'because', 'pseg', 'personnel', 'did', 'not', 'follow', 'plant', 'procedures']",117,2424,2559,ML072260460.txt,T,T
4787,1975,"['the', 'inspectors', 'determined', 'that', 'the', 'pseg', 'procedure', 'for', 'maintenance', 'conducted', 'on', 'the', 'dmv', 'sight', 'glass', 'was', 'inadequate', 'because', 'pseg', 'did', 'not', 'incorporate', 'appropriate', 'vendor', 'guidance', 'regarding', 'reinstallation', 'and', 'torque', 'requirements', 'for', 'the', 'sight', 'glasses', 'into', 'plant']",153,1033,1301,ML072260460.txt,P,O
5445,129,"['the', 'inspectors', 'determined', 'that', 'the', 'failure', 'to', 'control', 'transient', 'combustibles', 'was', 'contrary', 'to', 'the', 'fire', 'protection', 'program', 'and', 'was', 'performance']",39,2383,2558,ML11300A116.txt,O,O
5446,130,"['the', 'licensee', 'failed', 'to', 'control', 'the', 'amount', 'and', 'location', 'of', 'transient', 'combustibles', 'material', 'as', 'required', 'by', 'the', 'fire', 'protection', 'program', 'in', 'areas', 'that', 'contained']",39,2558,2755,ML11300A116.txt,O,O
5468,152,"['in', 'on', 'august', 'the', 'fire', 'watches', 'failed', 'to', 'report', 'the', 'combustibles', 'present', 'in', 'the', 'unit', 'turbine', 'building', 'mezzanine', 'and', 'the', 'cable', 'tunnel', 'to', 'shift', 'management', 'as', 'required', 'by', 'procedure']",45,3049,3273,ML11300A116.txt,O,O
5520,204,"['the', 'inspectors', 'determined', 'that', 'the', 'finding', 'was', 'more', 'than', 'minor', 'because', 'the', 'failure', 'to', 'implement', 'the', 'diesel', 'fire', 'pump', 'battery', 'surveillance', 'procedure', 'was', 'associated', 'with', 'the', 'mitigating', 'systems', 'cornerstone', 'attribute', 'of', 'protection', 'against', 'external', 'factors', 'and', 'affected', 'the', 'cornerstone', 'objective', 'of', 'ensuring', 'the', 'availability', 'and', 'reliability', 'of', 'mitigating', 'systems', 'to', 'respond', 'to', 'fire', 'events', 'to', 'prevent', 'undesirable']",55,695,1122,ML11300A116.txt,O,O
5667,351,"['the', 'licensee', 'made', 'change', 'to', 'administrative', 'technical', 'requirements', 'which', 'permitted', 'suppression', 'system', 'to', 'be', 'inoperable', 'without', 'compensatory', 'thereby', 'degrading', 'the', 'ability', 'to', 'suppress', 'fire', 'and', 'challenging', 'the', 'ability', 'to', 'achieve', 'and', 'maintain', 'safe', 'shutdown', 'in', 'the', 'event', 'of']",95,362,667,ML11300A116.txt,O,O
5703,387,"['the', 'inspectors', 'determined', 'that', 'the', 'failure', 'to', 'obtain', 'nrc', 'approval', 'prior', 'to', 'making', 'change', 'which', 'was', 'adverse', 'to', 'safe', 'shutdown', 'was', 'contrary', 'to', 'license', 'conditions', 'and', 'for', 'units', 'and', 'and', 'was', 'performance']",107,2184,2433,ML11300A116.txt,O,O
5722,406,"['the', 'licensee', 'made', 'change', 'to', 'administrative', 'technical', 'requirements', 'to', 'permit', 'suppression', 'system', 'to', 'be', 'inoperable', 'without', 'compensatory', 'measures', 'thereby', 'degrading', 'the', 'ability', 'to', 'suppress', 'fire', 'and', 'challenging', 'the', 'ability', 'to', 'achieve', 'and', 'maintain', 'safe', 'shutdown', 'in', 'the', 'event', 'of']",109,2705,3003,ML11300A116.txt,O,O
6734,292,"['in', 'response', 'to', 'the', 'the', 'licensee', 'performed', 'seismic', 'analysis', 'and', 'determined', 'that', 'the', 'piping', 'would', 'not', 'fall', 'during', 'an', 'operating', 'basis']",161,1545,1723,ML071350662.txt,O,O
