,text,line,start_pos,end_pos,file,Y,Predicted_Values,Train_Accuracy,Val_Accuracy,Test_Accuracy
401,"['in', 'this', 'instance', 'pressure', 'switch', 'had', 'failed', 'due', 'to', 'the', 'same', 'process', 'fluid', 'fouling', 'different', 'portion', 'of', 'the', 'so', 'even', 'though', 'the', 'symptoms', 'were', 'different', 'in', 'this', 'the', 'root', 'cause', 'of', 'the', 'failure', 'was', 'the']",187,2721,2940,ML14041A484.txt,D,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
418,"['the', 'licensee', 'did', 'not', 'ensure', 'accurate', 'and', 'design', 'and', 'work', 'and', 'correct', 'labeling', 'of']",191,2227,2377,ML14041A484.txt,T,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
613,"['contrary', 'to', 'the', 'on', 'november', 'the', 'inspectors', 'identified', 'that', 'the', 'licensee', 'failed', 'to', 'provide', 'adequate', 'procedural', 'guidance', 'to', 'ensure', 'fire', 'safe', 'shutdown', 'due', 'to', 'fire', 'in', 'fa']",47,2296,2487,ML16021A133.txt,O,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
1018,"['finding', 'of', 'very', 'low', 'safety', 'significance', 'with', 'two', 'examples', 'and', 'an', 'associated', 'violation', 'of', 'title', 'code', 'of', 'federal', 'regulations', 'part', 'appendix', 'criterion', 'and', 'was', 'identified', 'by', 'the', 'inspectors', 'for', 'the', 'failure', 'to', 'accomplish', 'the', 'requirements', 'of', 'procedure', 'revision']",23,1382,1776,ML15313A275.txt,P,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
1021,"['the', 'inspectors', 'determined', 'that', 'the', 'failure', 'to', 'accomplish', 'the', 'requirements', 'of', 'procedure', 'revision', 'to', 'properly', 'determine', 'compensatory', 'measures', 'for', 'operable', 'but', 'degraded', 'and', 'operable', 'but', 'conditions', 'was', 'performance']",23,2270,2579,ML15313A275.txt,P,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
1028,"['the', 'inspectors', 'determined', 'that', 'the', 'performance', 'characteristic', 'of', 'the', 'finding', 'that', 'was', 'the', 'most', 'significant', 'causal', 'factor', 'for', 'the', 'performance', 'deficiency', 'was', 'associated', 'with', 'the', 'aspect', 'of', 'consistent', 'process', 'in', 'the', 'human', 'performance', 'involving', 'individuals', 'using', 'systematic', 'approach', 'to', 'make']",25,176,520,ML15313A275.txt,H,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
1041,"['the', 'licensee', 'did', 'not', 'properly', 'evaluate', 'and', 'manage', 'uncertain', 'conditions', 'associated', 'with', 'the', 'ventilation', 'system', 'and', 'impacts', 'on', 'ts', 'ssc', 'operability', 'prior', 'to', 'proceeding', 'with', 'declaration', 'of', 'full']",25,3355,3572,ML15313A275.txt,O,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
1211,"['the', 'inspectors', 'were', 'again', 'concerned', 'that', 'the', 'licensee', 'did', 'not', 'appropriately', 'determine', 'whether', 'compensatory', 'measures', 'were', 'appropriate', 'to', 'maintain', 'or', 'enhance', 'operability', 'until', 'final', 'corrective', 'actions', 'were']",111,1598,1821,ML15313A275.txt,T,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
1220,"['the', 'inspectors', 'determined', 'that', 'the', 'failure', 'to', 'accomplish', 'the', 'requirements', 'of', 'procedure', 'revision', 'to', 'properly', 'determine', 'compensatory', 'measures', 'for', 'operable', 'but', 'degraded', 'and', 'operable', 'but', 'conditions', 'was', 'performance']",119,0,319,ML15313A275.txt,P,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
1225,"['per', 'exhibit', 'systems', 'screening', 'the', 'inspectors', 'determined', 'that', 'because', 'the', 'finding', 'was', 'qualification', 'deficiency', 'and', 'did', 'not', 'impact', 'operability', 'of', 'the', 'ts', 'the', 'finding', 'screened', 'as', 'very', 'low', 'safety', 'significance']",119,1277,1524,ML15313A275.txt,O,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
1227,"['the', 'licensee', 'did', 'not', 'apply', 'systematic', 'approach', 'for', 'determining', 'the', 'appropriateness', 'of', 'compensatory', 'measures', 'while', 'making', 'operability', 'decisions', 'for', 'the', 'degraded', 'and', 'conditions', 'associated', 'with', 'the', 'rhr', 'recirculation', 'sump']",119,1871,2139,ML15313A275.txt,T,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
1229,"['contrary', 'to', 'the', 'on', 'august', 'and', 'september', 'the', 'licensee', 'failed', 'to', 'determine', 'compensatory', 'measures', 'for', 'degraded', 'and', 'conditions', 'affecting', 'the', 'rhr', 'recirculation', 'sump', 'valves', 'in', 'accordance', 'with', 'procedure', 'revision']",119,2485,2791,ML15313A275.txt,T,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
1475,"['the', 'licensee', 'also', 'identified', 'three', 'instances', 'december', 'september', 'and', 'september', 'of', 'failure', 'to', 'report', 'the', 'major', 'loss', 'of', 'emergency', 'assessment', 'capability', 'when', 'the', 'seismic', 'monitoring', 'panel', 'was', 'for', 'planned', 'events', 'for', 'greater', 'than']",209,1054,1336,ML15313A275.txt,P,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
1581,"['the', 'licensee', 'did', 'not', 'implement', 'process', 'of', 'and', 'executing', 'work', 'activities', 'such', 'that', 'nuclear', 'safety', 'was', 'the', 'overriding', 'priority']",40,2997,3175,ML14087A338.txt,O,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
1742,"['the', 'team', 'determined', 'that', 'the', 'program', 'document', 'did', 'not', 'describe', 'scheduling', 'basis', 'of', 'line', 'basis', 'for', 'inspection', 'and', 'plans', 'for']",84,2258,2427,ML14087A338.txt,P,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
1816,"['the', 'team', 'identified', 'green', 'violation', 'of', 'cfr', 'part', 'appendix', 'criterion', 'and', 'for', 'failure', 'to', 'follow', 'procedures', 'related', 'to', 'review', 'of', 'indications', 'that', 'could', 'affect', 'the', 'structural', 'integrity', 'of', 'the', 'unit', 'reactor']",96,2330,2604,ML14087A338.txt,P,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
1866,"['the', 'team', 'determined', 'that', 'the', 'licensee', 'had', 'not', 'completed', 'their', 'commitment', 'to', 'perform', 'inspection', 'of', 'single', 'reactor', 'coolant', 'pump', 'casing', 'and', 'the', 'licensee', 'had', 'not', 'inspected', 'the', 'pump', 'cover', 'because', 'of', 'the', 'potential', 'for', 'high', 'radiation']",104,1333,1603,ML14087A338.txt,O,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
1879,"['licensee', 'initiated', 'commitment', 'to', 'track', 'the', 'required', 'flaw', 'evaluations', 'for', 'the', 'reactor', 'coolant', 'pump', 'consequently', 'the', 'team', 'considered', 'commitment']",106,0,169,ML14087A338.txt,D,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
2148,"['the', 'team', 'determined', 'that', 'the', 'licensee', 'had', 'not', 'established', 'means', 'to', 'retrieve', 'the', 'history', 'of', 'structural', 'components']",142,2726,2889,ML14087A338.txt,P,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
2150,"['although', 'personnel', 'review', 'the', 'results', 'from', 'previous', 'year', 'inspection', 'the', 'team', 'determined', 'the', 'present', 'methods', 'for', 'tracking', 'deficiencies', 'could', 'limit', 'effectiveness', 'and', 'ability', 'of', 'engineering', 'personnel', 'to', 'readily', 'retrieve', 'all', 'available', 'history', 'and', 'trends', 'and', 'to', 'monitor', 'issues', 'identified', 'by', 'other']",142,2960,3269,ML14087A338.txt,P,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
2151,"['the', 'licensee', 'issued', 'corrective']",142,3269,3325,ML14087A338.txt,P,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
2312,"['although', 'the', 'licensee', 'would', 'revise', 'technical', 'specification', 'or', 'shut', 'down', 'prior', 'to', 'exceeding', 'effective', 'full', 'power', 'the', 'team', 'concluded', 'the', 'licensee', 'had', 'not', 'met', 'the', 'conditions', 'for', 'meeting', 'this', 'aging', 'analysis', 'prior', 'to', 'the', 'period', 'of', 'extended']",170,1276,1550,ML14087A338.txt,P,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
2684,"['green', 'nrc', 'identified', 'ncv', 'of', 'unit', 'operating', 'license', 'condition', 'and', 'unit', 'operating', 'license', 'condition', 'for', 'failure', 'to', 'implement', 'and', 'maintain', 'in', 'effect', 'all', 'provisions', 'of', 'the', 'approved', 'fire', 'protection', 'program', 'as', 'described', 'in', 'the', 'fsar', 'for', 'the']",99,2497,2784,ML12027A131.txt,O,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
2685,"['the', 'licensee', 'failed', 'to', 'ensure', 'during', 'safe', 'unit', 'and', 'unit', 'reactor', 'coolant', 'process', 'variables', 'would', 'be', 'maintained', 'within', 'those', 'predicted', 'for', 'loss', 'of', 'normal', 'ac']",99,2784,2991,ML12027A131.txt,O,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
2943,"['the', 'licensee', 'failed', 'to', 'ensure', 'during', 'safe', 'shutdown', 'involving', 'large', 'fire', 'in', 'the', 'unit', 'and', 'unit', 'rcs', 'process', 'variables', 'would', 'be', 'maintained', 'within', 'those', 'predicted', 'for', 'loss', 'of', 'normal', 'ac']",176,959,1174,ML12027A131.txt,O,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
3123,"['the', 'performance', 'deficiency', 'was', 'more', 'than', 'and', 'therefore', 'because', 'it', 'was', 'associated', 'with', 'the', 'human', 'performance', 'attribute', 'of', 'the', 'mitigating', 'systems', 'cornerstone', 'and', 'affected', 'the', 'cornerstone', 'objective', 'to', 'ensure', 'the', 'and', 'capability', 'of', 'systems', 'that', 'respond', 'to', 'initiating', 'events', 'to', 'prevent', 'undesirable']",32,2337,2687,ML17179A282.txt,H,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
3129,"['operations', 'personnel', 'restoring', 'the', 'division', 'rhr', 'subsystem', 'did']",32,3705,3782,ML17179A282.txt,T,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
3143,"['the', 'team', 'determined', 'the', 'finding', 'had', 'aspect', 'within', 'the', 'human', 'performance', 'because', 'leaders', 'did', 'not', 'ensure', 'that', 'and', 'other', 'resources', 'were', 'available', 'and', 'adequate', 'to', 'support', 'nuclear']",36,2294,2543,ML17179A282.txt,O,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
3160,"['this', 'event', 'raised', 'questions', 'regarding', 'how', 'operations', 'personnel', 'completed', 'the', 'system', 'alignment', 'and', 'how', 'they', 'failed', 'to', 'identify', 'the', 'improperly', 'positioned', 'valves', 'during', 'subsequent', 'sealed', 'valve']",42,1861,2073,ML17179A282.txt,T,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
3314,"['the', 'licensee', 'had', 'an', 'opportunity', 'to', 'identify', 'this', 'error', 'during', 'sealed', 'valve', 'audit', 'the', 'week', 'of', 'november', 'but', 'failed', 'to', 'identify', 'the', 'valves', 'were', 'out', 'of']",90,1739,1913,ML17179A282.txt,T,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
3315,"['because', 'of', 'this', 'the', 'licensee', 'revised', 'the', 'sealed', 'valve', 'audit', 'procedure', 'not', 'only', 'to', 'check', 'that', 'the', 'sealing', 'devices', 'are', 'but', 'to', 'check', 'valve', 'positions', 'as']",90,1913,2078,ML17179A282.txt,P,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
3343,"['since', 'the', 'licensee', 'was', 'not', 'aware', 'of', 'the', 'inoperable', 'status', 'of', 'the', 'division', 'rhr', 'the', 'licensee', 'allowed', 'division', 'ii', 'rhr', 'to', 'be', 'taken', 'to', 'an', 'inoperable', 'resulting', 'in', 'total', 'loss', 'of', 'safety', 'functions', 'for', 'the', 'rhr']",102,388,625,ML17179A282.txt,O,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
3472,"['the', 'technical', 'specification', 'allowed', 'out', 'of', 'service', 'time', 'of', 'the', 'division', 'rhr', 'failure', 'to', 'implement', 'an', 'adequate', 'procedure', 'for', 'equipment', 'control']",138,2333,2540,ML17179A282.txt,O,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
3481,"['from', 'november', 'to', 'november', 'the', 'licensee', 'conducted', 'this', 'sealed', 'valve', 'audit', 'in', 'accordance', 'with', 'step', 'of', 'procedure', 'and', 'failed', 'to', 'identify', 'the', 'division', 'rhr', 'minimum', 'flow', 'isolation', 'valves', 'were', 'in', 'the', 'incorrect']",142,277,521,ML17179A282.txt,P,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
3491,"['the', 'failure', 'to', 'correctly', 'identify', 'and', 'correct', 'out', 'of', 'position', 'division', 'rhr', 'minimum', 'flow', 'isolation', 'valves', 'resulted', 'in', 'unnecessarily', 'and', 'unknowingly', 'extending', 'the', 'inoperability', 'time', 'of', 'the', 'division', 'rhr', 'system', 'by']",142,2236,2475,ML17179A282.txt,T,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
3843,"['the', 'corrective', 'actions', 'that', 'resulted', 'from', 'the', 'review', 'of', 'the', 'tn', 'bulletin', 'as', 'documented', 'in', 'the', 'condition', 'report', 'included', 'the', 'revision', 'to', 'comanche', 'peak', 'procedure', 'to', 'require', 'the', 'dcs', 'project', 'manager', 'to', 'verify', 'that', 'there', 'had', 'been', 'no', 'change', 'to', 'either', 'the', 'welding', 'equipment', 'or', 'hydrogen', 'gas', 'monitors', 'or', 'their', 'setups', 'prior', 'to', 'each', 'new', 'loading']",66,118,498,ML13298A103.txt,P,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
4001,"['the', 'licensee', 'entered', 'the', 'technical', 'specification', 'but', 'did', 'not', 'adequately', 'take', 'samples', 'once', 'per', 'hours', 'as', 'required', 'by', 'action']",31,1045,1172,wat_2000010.txt,O,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
4083,"['the', 'licensee', 'investigated', 'these', 'concerns', 'and', 'determined', 'that', 'this', 'alternate', 'sample', 'point', 'was', 'not', 'adequate', 'in', 'that', 'it', 'did', 'not', 'meet', 'the', 'intent', 'of', 'technical', 'specification', 'action', 'which', 'required', 'that', 'grab', 'samples', 'be', 'taken', 'every']",61,1894,2138,wat_2000010.txt,O,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
4291,"['as', 'exelon', 'failed', 'to', 'ensure', 'that', 'the', 'local', 'control', 'circuits', 'for', 'several', 'breakers', 'would', 'be', 'isolated', 'from', 'the', 'effects', 'of', 'fire']",42,2693,2837,ML13182A476.txt,O,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
4353,"['of', 'the', 'limerick', 'generating', 'station', 'operating', 'in', 'that', 'exelon', 'did', 'not', 'provide', 'adequate', 'procedural', 'guidance', 'for', 'transporting', 'the', 'fire', 'brigade', 'and', 'equipment', 'to', 'the', 'spray', 'pond', 'pump']",56,426,621,ML13182A476.txt,O,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
4441,"['as', 'exelon', 'failed', 'to', 'ensure', 'that', 'the', 'local', 'control', 'circuits', 'for', 'several', 'breakers', 'would', 'be', 'isolated', 'from', 'the', 'effects', 'of', 'fire']",78,732,876,ML13182A476.txt,O,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
4903,"['the', 'inspectors', 'identified', 'green', 'noncited', 'violation', 'of', 'cfr', 'appendix', 'criterion', 'for', 'failure', 'to', 'assure', 'that', 'the', 'design', 'as', 'specified', 'in', 'the', 'license', 'was', 'correctly', 'translated', 'into', 'drawings', 'and', 'the', 'actual', 'plant']",31,869,1140,ML071350662.txt,D,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
4906,"['current', 'plant', 'configuration', 'and', 'drawing', 'foundation', 'sheet', 'do', 'not', 'conform', 'to', 'the', 'design', 'in', 'that', 'there', 'are', 'no', 'openings', 'other', 'than', 'the', 'floor']",31,1482,1676,ML071350662.txt,D,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
4909,"['this', 'finding', 'is', 'more', 'than', 'minor', 'because', 'it', 'is', 'associated', 'with', 'the', 'design', 'control', 'attribute', 'and', 'affects', 'the', 'mitigating', 'systems', 'cornerstone', 'objective', 'to', 'ensure', 'the', 'reliability', 'of', 'the', 'dry', 'cooling', 'tower', 'system', 'during', 'the', 'probable', 'maximum', 'precipitation', 'event', 'on', 'the', 'plant']",31,1877,2149,ML071350662.txt,D,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
5040,"['the', 'failure', 'to', 'translate', 'the', 'design', 'basis', 'into', 'drawings', 'and', 'the', 'plant', 'configuration', 'is', 'performance']",93,978,1090,ML071350662.txt,D,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
5176,"['the', 'failure', 'to', 'follow', 'procedures', 'was', 'violation', 'of', 'technical', 'specification']",167,1434,1518,ML071350662.txt,P,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
