,text,line,start_pos,end_pos,file,Y,Predicted_Values,Train_Accuracy,Val_Accuracy,Test_Accuracy
413,"['failure', 'to', 'preclude', 'repetitive', 'failures', 'of', 'the', 'train', 'class', 'air', 'significant', 'condition', 'adverse', 'to', 'is', 'performance']",191,947,1100,ML14041A484.txt,T,D,0.7993217706680298,0.800000011920929,0.18823529411764706
700,"['findings', 'the', 'nrc', 'identified', 'green', 'violation', 'of', 'mcguire', 'technical', 'specification', 'for', 'unit', 'for', 'having', 'an', 'inadequate', 'procedure', 'to', 'support', 'safe', 'shutdown', 'for', 'fire', 'in', 'fa']",45,939,1168,ML16021A133.txt,P,P,0.7993217706680298,0.800000011920929,0.18823529411764706
733,"['failure', 'to', 'completely', 'and', 'accurately', 'translate', 'the', 'safe', 'shutdown', 'analysis', 'to']",47,2916,3037,ML16021A133.txt,P,P,0.7993217706680298,0.800000011920929,0.18823529411764706
1203,"['the', 'position', 'was', 'that', 'simply', 'stating', 'that', 'compensatory', 'measures', 'are', 'did', 'not', 'meet', 'the', 'definition', 'of', 'because', 'there', 'was', 'no', 'supporting', 'bases', 'for', 'the', 'determination', 'of', 'taking', 'no', 'compensatory']",109,3722,3945,ML15313A275.txt,T,D,0.7993217706680298,0.800000011920929,0.18823529411764706
1220,"['the', 'inspectors', 'determined', 'that', 'the', 'failure', 'to', 'accomplish', 'the', 'requirements', 'of', 'procedure', 'revision', 'to', 'properly', 'determine', 'compensatory', 'measures', 'for', 'operable', 'but', 'degraded', 'and', 'operable', 'but', 'conditions', 'was', 'performance']",119,0,319,ML15313A275.txt,P,P,0.7993217706680298,0.800000011920929,0.18823529411764706
1226,"['the', 'inspectors', 'determined', 'that', 'the', 'performance', 'characteristic', 'of', 'the', 'finding', 'that', 'was', 'the', 'most', 'significant', 'causal', 'factor', 'for', 'the', 'performance', 'deficiency', 'was', 'associated', 'with', 'the', 'aspect', 'of', 'consistent', 'process', 'in', 'the', 'human', 'performance', 'and', 'involved', 'individuals', 'using', 'systematic', 'approach', 'to', 'make']",119,1524,1871,ML15313A275.txt,T,D,0.7993217706680298,0.800000011920929,0.18823529411764706
1229,"['contrary', 'to', 'the', 'on', 'august', 'and', 'september', 'the', 'licensee', 'failed', 'to', 'determine', 'compensatory', 'measures', 'for', 'degraded', 'and', 'conditions', 'affecting', 'the', 'rhr', 'recirculation', 'sump', 'valves', 'in', 'accordance', 'with', 'procedure', 'revision']",119,2485,2791,ML15313A275.txt,T,P,0.7993217706680298,0.800000011920929,0.18823529411764706
1241,"['the', 'licensee', 'continued', 'with', 'troubleshooting', 'and', 'investigation', 'to', 'determine', 'the', 'cause', 'of', 'the', 'damper', 'at', 'hours', 'on', 'august', 'although', 'the', 'cause', 'and', 'corrective', 'action', 'was', 'not', 'determined', 'for', 'the', 'decision', 'was', 'made', 'that', 'the', 'building', 'ventilation', 'system', 'could', 'be', 'considered', 'functional', 'and', 'that', 'the', 'alignment', 'was', 'the', 'alignment', 'since', 'the', 'system', 'would', 'permit', 'full']",123,2187,2613,ML15313A275.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
1267,"['the', 'inspectors', 'determined', 'that', 'the', 'performance', 'characteristic', 'of', 'the', 'finding', 'that', 'was', 'the', 'most', 'significant', 'causal', 'factor', 'for', 'the', 'performance', 'deficiency', 'was', 'associated', 'with', 'the', 'aspect', 'of', 'challenge', 'the', 'unknown', 'in', 'the', 'human', 'performance', 'and', 'involved', 'individuals', 'stopping', 'when', 'faced', 'with', 'uncertain', 'conditions', 'and', 'evaluating', 'and', 'managing', 'risk', 'prior', 'to']",127,317,708,ML15313A275.txt,T,P,0.7993217706680298,0.800000011920929,0.18823529411764706
1437,"['the', 'vpi', 'is', 'manufacturing', 'process', 'or', 'motor', 'winding', 'technique', 'that', 'had', 'been', 'performed', 'in', 'by']",195,1968,2074,ML15313A275.txt,D,D,0.7993217706680298,0.800000011920929,0.18823529411764706
1475,"['the', 'licensee', 'also', 'identified', 'three', 'instances', 'december', 'september', 'and', 'september', 'of', 'failure', 'to', 'report', 'the', 'major', 'loss', 'of', 'emergency', 'assessment', 'capability', 'when', 'the', 'seismic', 'monitoring', 'panel', 'was', 'for', 'planned', 'events', 'for', 'greater', 'than']",209,1054,1336,ML15313A275.txt,P,P,0.7993217706680298,0.800000011920929,0.18823529411764706
1578,"['failure', 'to', 'track', 'the', 'growth', 'of', 'existing', 'cracks', 'on', 'the', 'reactor', 'building', 'could', 'allow', 'degradation', 'to', 'continue', 'to', 'the', 'point', 'of', 'affecting', 'the', 'structural']",40,2232,2404,ML14087A338.txt,T,P,0.7993217706680298,0.800000011920929,0.18823529411764706
1580,"['the', 'team', 'determined', 'that', 'this', 'finding', 'had', 'human', 'performance', 'cross', 'cutting', 'aspect', 'in', 'the', 'area', 'of', 'work']",40,2883,2997,ML14087A338.txt,H,P,0.7993217706680298,0.800000011920929,0.18823529411764706
1751,"['the', 'team', 'determined', 'that', 'the', 'licensee', 'had', 'not', 'met', 'commitment', 'to', 'develop', 'wall', 'thinning', 'inspection', 'program', 'aging', 'management', 'program', 'as', 'described', 'in', 'letter', 'to', 'attachment', 'arkansas', 'nuclear', 'unit']",86,512,739,ML14087A338.txt,P,D,0.7993217706680298,0.800000011920929,0.18823529411764706
1810,"['during', 'discussions', 'the', 'team', 'determined', 'that', 'the', 'licensee', 'had', 'not', 'established', 'method', 'to', 'consistently', 'evaluate', 'previously', 'identified', 'conditions', 'as', 'specified', 'in', 'their', 'plant']",96,1221,1413,ML14087A338.txt,P,D,0.7993217706680298,0.800000011920929,0.18823529411764706
1840,"['the', 'team', 'determined', 'that', 'the', 'failure', 'to', 'assess', 'previous', 'indications', 'of', 'concrete', 'as', 'specified', 'in', 'plant', 'was', 'performance']",100,2922,3078,ML14087A338.txt,P,P,0.7993217706680298,0.800000011920929,0.18823529411764706
1881,"['as', 'described', 'in', 'letter', 'to', 'attachment', 'arkansas', 'nuclear', 'unit', 'the', 'team', 'determined', 'that', 'the', 'licensee', 'had', 'not', 'met', 'commitment', 'since', 'the', 'licensee', 'had', 'not', 'inspected', 'the', 'reactor', 'coolant', 'pump']",106,256,481,ML14087A338.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
2140,"['during', 'discussions', 'the', 'first', 'week', 'of', 'the', 'structures', 'monitoring', 'program', 'staff', 'informed', 'the', 'inspectors', 'that', 'the', 'position', 'of', 'the', 'program', 'as', 'designated', 'in', 'procedure', 'en', 'section', 'was', 'not', 'currently', 'filled', 'at', 'the']",142,1496,1756,ML14087A338.txt,P,D,0.7993217706680298,0.800000011920929,0.18823529411764706
2148,"['the', 'team', 'determined', 'that', 'the', 'licensee', 'had', 'not', 'established', 'means', 'to', 'retrieve', 'the', 'history', 'of', 'structural', 'components']",142,2726,2889,ML14087A338.txt,P,P,0.7993217706680298,0.800000011920929,0.18823529411764706
2154,"['the', 'team', 'determined', 'that', 'the', 'licensee', 'had', 'not', 'evaluated', 'whether', 'the', 'groundwater', 'had', 'become', 'aggressive', 'to', 'below', 'grade', 'and', 'buried', 'portions', 'of', 'concrete', 'structures', 'since', 'approval', 'of', 'the', 'license', 'renewal']",144,290,500,ML14087A338.txt,O,D,0.7993217706680298,0.800000011920929,0.18823529411764706
2157,"['because', 'the', 'licensee', 'had', 'not', 'established', 'method', 'to', 'consistently', 'track', 'and', 'trend', 'structural', 'the', 'team', 'concluded', 'that', 'the', 'licensee', 'had', 'not', 'met', 'the', 'conditions', 'of', 'commitment', 'prior', 'to', 'the', 'period', 'of', 'extended']",144,1097,1325,ML14087A338.txt,P,P,0.7993217706680298,0.800000011920929,0.18823529411764706
2855,"['operators', 'quickly', 'determined', 'that', 'step', 'had', 'not', 'been']",162,1162,1232,ML12027A131.txt,H,D,0.7993217706680298,0.800000011920929,0.18823529411764706
2862,"['procedural', 'place', 'keeping', 'techniques', 'were', 'less', 'than']",162,2329,2403,ML12027A131.txt,P,D,0.7993217706680298,0.800000011920929,0.18823529411764706
2959,"['contrary', 'to', 'the', 'on', 'the', 'nrc', 'identified', 'that', 'the', 'licensee', 'failed', 'to', 'ensure', 'during', 'safe', 'unit', 'and', 'unit', 'reactor', 'coolant', 'process', 'variables', 'would', 'be', 'maintained', 'within', 'those', 'predicted', 'for', 'loss', 'of', 'normal', 'ac']",178,433,695,ML12027A131.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
3314,"['the', 'licensee', 'had', 'an', 'opportunity', 'to', 'identify', 'this', 'error', 'during', 'sealed', 'valve', 'audit', 'the', 'week', 'of', 'november', 'but', 'failed', 'to', 'identify', 'the', 'valves', 'were', 'out', 'of']",90,1739,1913,ML17179A282.txt,T,D,0.7993217706680298,0.800000011920929,0.18823529411764706
3390,"['the', 'team', 'reviewed', 'violation', 'for', 'an', 'inadequate', 'procedure', 'discussed', 'in', 'section', 'of', 'this', 'and', 'two', 'additional', 'minor', 'violations', 'for', 'failure', 'to', 'follow', 'site']",122,137,326,ML17179A282.txt,P,D,0.7993217706680298,0.800000011920929,0.18823529411764706
3393,"['contrary', 'to', 'the', 'these', 'two', 'valves', 'had', 'chain', 'passing', 'through', 'the', 'but', 'the', 'lead', 'wire', 'seal', 'was', 'installed', 'such', 'that', 'it', 'did', 'not', 'prevent', 'operation', 'of', 'the', 'valve', 'without', 'breaking', 'the', 'seal']",122,714,917,ML17179A282.txt,H,P,0.7993217706680298,0.800000011920929,0.18823529411764706
3432,"['the', 'team', 'reviewed', 'violation', 'of', 'technical', 'specification', 'core', 'cooling', 'systems', 'for', 'the', 'failure', 'to', 'restore', 'the', 'division', 'residual', 'heat', 'removal', 'system', 'during', 'clearance', 'which', 'resulted', 'in', 'exceeding', 'the', 'applicable', 'technical', 'specification', 'action', 'completion']",132,112,474,ML17179A282.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
3475,"['this', 'resulted', 'in', 'an', 'extended', 'period', 'of', 'time', 'that', 'the', 'division', 'residual', 'heat', 'removal', 'system', 'was', 'unknowingly']",138,2964,3090,ML17179A282.txt,P,P,0.7993217706680298,0.800000011920929,0.18823529411764706
3491,"['the', 'failure', 'to', 'correctly', 'identify', 'and', 'correct', 'out', 'of', 'position', 'division', 'rhr', 'minimum', 'flow', 'isolation', 'valves', 'resulted', 'in', 'unnecessarily', 'and', 'unknowingly', 'extending', 'the', 'inoperability', 'time', 'of', 'the', 'division', 'rhr', 'system', 'by']",142,2236,2475,ML17179A282.txt,T,P,0.7993217706680298,0.800000011920929,0.18823529411764706
3505,"['to', 'implement', 'an', 'adequate', 'procedure', 'for', 'equipment', 'including', 'exit', 'exit', 'meeting', 'summary', 'on', 'may', 'the', 'inspectors', 'presented', 'the', 'inspection', 'results', 'by', 'telephone', 'to', 'ken', 'vice', 'and', 'chief', 'nuclear', 'and', 'other', 'members', 'of', 'the']",144,999,1339,ML17179A282.txt,P,P,0.7993217706680298,0.800000011920929,0.18823529411764706
3824,"['the', 'type', 'monitor', 'did', 'not', 'contain', 'the', 'diffuser', 'fitting', 'and', 'as', 'such', 'required', 'the', 'sample', 'gas', 'to', 'contain', 'at', 'least', 'oxygen', 'by', 'volume', 'for', 'the', 'catalytic', 'combustion', 'sensor', 'to', 'function']",62,1279,1481,ML13298A103.txt,D,P,0.7993217706680298,0.800000011920929,0.18823529411764706
3964,"['the', 'inspection', 'did', 'identify', 'weaknesses', 'in', 'the', 'identification', 'of', 'trends', 'and', 'performance', 'deficiencies', 'pertaining', 'to', 'the', 'initiation', 'and', 'quality', 'of', 'operability', 'determinations', 'and', 'reportability']",9,1313,1523,ML11244A041.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
3992,"['additional', 'deficiencies', 'were', 'identified', 'with', 'the', 'conduct', 'and', 'quality', 'of', 'operability', 'determinations', 'and', 'reportability']",29,1607,1736,ML11244A041.txt,O,D,0.7993217706680298,0.800000011920929,0.18823529411764706
3993,"['similar', 'issues', 'had', 'been', 'previously', 'identified', 'by', 'nrc', 'resident', 'staff', 'and', 'nos', 'and', 'represented', 'weakness', 'of', 'the', 'cap', 'to', 'improve', 'this', 'area', 'and', 'cap', 'oversight', 'such', 'as', 'the', 'issue', 'screening', 'team', 'and', 'the', 'management', 'review', 'committee', 'to', 'monitor', 'and', 'enforce', 'adequate']",29,1736,2021,ML11244A041.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
4078,"['the', 'operability', 'section', 'did', 'not', 'address', 'the', 'pitting', 'and', 'corrosion', 'of', 'sw']",53,2487,2566,ML11244A041.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
4084,"['the', 'operability', 'section', 'did', 'not', 'address', 'the', 'degraded', 'or', 'condition', 'of', 'the', 'ground']",53,3184,3285,ML11244A041.txt,P,D,0.7993217706680298,0.800000011920929,0.18823529411764706
4105,"['the', 'inspectors', 'also', 'noted', 'that', 'in', 'some', 'instances', 'reportability', 'evaluations', 'were', 'not', 'conducted', 'until', 'the', 'nrc', 'raised']",65,892,1017,ML11244A041.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
4130,"['the', 'ar', 'actions', 'did', 'not', 'try', 'to', 'determine', 'why', 'the', 'labels', 'were', 'not', 'corrected', 'as', 'part', 'of', 'the', 'recent', 'modification', 'or', 'determine', 'the', 'extent', 'of']",67,1524,1670,ML11244A041.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
4138,"['for', 'licensee', 'individual', 'initiated', 'ar', 'when', 'the', 'small', 'article', 'monitor', 'was', 'found', 'due', 'to', 'high']",67,2713,2856,ML11244A041.txt,O,D,0.7993217706680298,0.800000011920929,0.18823529411764706
4144,"['the', 'ar', 'initiator', 'was', 'not', 'consulted', 'or', 'satisfied', 'with', 'this']",69,213,279,ML11244A041.txt,O,D,0.7993217706680298,0.800000011920929,0.18823529411764706
4172,"['nos', 'assessments', 'and', 'observations', 'were', 'found', 'to', 'be', 'thorough', 'and', 'challenging', 'as', 'evidenced', 'by', 'conclusions', 'and', 'insights', 'related', 'to', 'reviews', 'performed', 'on', 'bechtel', 'work', 'practices', 'and', 'programs', 'discussed', 'in', 'other', 'sections', 'of', 'this']",71,1089,1316,ML11244A041.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
4253,"['initiator', 'feedback', 'improvement', 'containment', 'isolation', 'valve', 'stroke', 'time', 'testing', 'ts', 'scheduled', 'too', 'close', 'to', 'compliance', 'unit', 'manual', 'reactor', 'trip', 'during', 'reactor', 'startup', 'nrc', 'questions', 'regarding', 'helb', 'oil', 'leak', 'on', 'ccw', 'pump', 'outboard', 'bearing', 'ler', 'required', 'for', 'past', 'help', 'issues', 'gas', 'intrusion', 'inspection', 'discussion', 'north', 'hdr', 'vlv', 'mid', 'position', 'when', 'valve', 'locally', 'shut', 'sw', 'temperature', 'limit', 'not', 'specified', 'for', 'lhsi', 'sentinel', 'point', 'monitoring', 'results', 'unexpected', 'control', 'room', 'alarms', 'downpower', 'required', 'water', 'seals', 'on', 'top', 'of', 'missing', 'degraded', 'cdbi', 'fsa', 'calc', 'stpt', 'vs', 'epu', 'implementation', 'chemistry', 'not', 'notified', 'of', 'being', 'taken', 'oos', 'and', 'rts', 'identified', 'issues', 'design', 'flaw', 'in', 'capacitor', 'bank', 'setpoint', 'replacement', 'rms', 'isolation', 'transformer', 'and', 'parts', 'needed', 'potential', 'ncv', 'on', 'failure', 'to', 'submit', 'ler', 'on', 'helb', 'issues', 'unit', 'and', 'and', 'capacitor', 'issues', 'cr', 'related', 'to', 'unit', 'closed', 'inappropriately', 'increasing', 'sample', 'flow', 'on', 'sping', 'breaker', 'failed', 'to', 'open', 'during', 'testing', 'stopped', 'open', 'inpo', 'ier', 'oyster', 'creek', 'scram', 'during', 'startup', 'water', 'seals', 'on', 'top', 'of', 'amsac', 'function', 'was', 'disabled', 'failure', 'to', 'obtain', 'sro', 'approval', 'prior', 'to', 'start', 'of', 'work', 'found', 'isolated', 'and', 'equalized', 'icp', 'found', 'oot', 'poor', 'status', 'control', 'of', 'service', 'water', 'ring', 'header', 'indicating', 'with', 'detector', 'preconditioning', 'of', 'the', 'unit', 'cfcs', 'on', 'dam', 'battery']",129,0,1547,ML11244A041.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
4265,"['procedure', 'inadequacy', 'led', 'to', 'being', 'left', 'in', 'stop', 'was', 'found', 'with', 'debris', 'preventing', 'an', 'alarm', 'unexpected', 'common', 'process', 'radiation', 'monitor', 'high', 'needs', 'repair', 'taken', 'from', 'the', 'store', 'room', 'needs', 'pra', 'diesel', 'air', 'compressor', 'status', 'blowdown', 'sample', 'filter', 'plugged', 'high', 'alarm', 'setpoint', 'change', 'required', 'low', 'flow', 'due', 'to', 'blockage', 'drum', 'area', 'vent', 'lr', 'gas', 'rad', 'drum', 'area', 'exh', 'low', 'range', 'gas', 'channel', 'alert', 'car', 'sw', 'butterfly', 'valve', 'replacements', 'caps', 'closed', 'to', 'work', 'orders', 'review', 'initial', 'classification', 'of', 'rcs', 'leak', 'at', 'ce', 'assignment', 'ccw', 'pump', 'oil', 'bubbler', 'low', 'hoist', 'separation', 'from', 'lift', 'beam', 'during', 'sw', 'pump', 'maintenance', 'work', 'management', 'root', 'cause', 'evaluation', 'potential', 'ncv', 'on', 'failure', 'to', 'submit', 'ler', 'on', 'helb', 'issues', 'potential', 'with', 'np']",145,0,911,ML11244A041.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
4268,"['operating', 'experience', 'number', 'description', 'or', 'title', 'diesel', 'generator', 'frequency', 'not', 'considered', 'in', 'calculation', 'emergency', 'diesel', 'generator', 'failed', 'to', 'close', 'in', 'loss', 'of', 'motor', 'control', 'in', 'importance', 'of', 'understanding', 'circuit', 'breaker', 'control', 'panel', 'indications', 'and', 'number', 'description', 'or', 'title', 'ar', 'maintenance', 'work', 'order', 'walkdown', 'quality', 'quick', 'hit', 'assessment', 'ar', 'maintenance', 'work', 'order', 'walkdown', 'quality', 'quick', 'hit', 'assessment', 'follow', 'up', 'pbn', 'point', 'beach', 'nuclear', 'oversight', 'report', 'operations']",147,0,589,ML11244A041.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
4358,"['the', 'chosen', 'sample', 'allowed', 'by', 'was', 'located', 'on', 'dead', 'leg', 'and', 'did', 'not', 'adequately', 'compensate', 'for', 'the', 'inoperable', 'radiation']",31,1172,1316,wat_2000010.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
4639,"['during', 'inspection', 'of', 'the', 'linear', 'velocity', 'transducer', 'connector', 'for', 'the', 'flow', 'control', 'valve', 'the', 'connector', 'was', 'found', 'in', 'degraded', 'and', 'personnel', 'applied', 'tape', 'to', 'the']",59,949,1155,ML082060602.txt,T,P,0.7993217706680298,0.800000011920929,0.18823529411764706
4643,"['this', 'finding', 'was', 'considered', 'more', 'than', 'minor', 'because', 'it', 'was', 'associated', 'with', 'the', 'equipment', 'performance', 'attribute', 'of', 'the', 'initiating', 'events', 'cornerstone', 'and', 'adversely', 'affected', 'the', 'cornerstone', 'objective', 'of', 'limiting', 'the', 'likelihood', 'of', 'events', 'that', 'upset', 'plant']",59,1652,1913,ML082060602.txt,O,D,0.7993217706680298,0.800000011920929,0.18823529411764706
4923,"['during', 'the', 'forced', 'the', 'licensee', 'identified', 'that', 'an', 'lvt', 'wire', 'was', 'not', 'soldered', 'to', 'its', 'connector']",185,2641,2746,ML082060602.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
4932,"['as', 'stated', 'in', 'cr', 'recirc', 'fcv', 'dated', 'june', 'the', 'cold', 'solder', 'inspections', 'too', 'much', 'wire', 'was', 'and', 'black', 'electrical', 'tape', 'was', 'used', 'as']",191,758,978,ML082060602.txt,T,P,0.7993217706680298,0.800000011920929,0.18823529411764706
4939,"['the', 'inspectors', 'determined', 'that', 'the', 'finding', 'was', 'more', 'than', 'minor', 'because', 'it', 'was', 'associated', 'with', 'the', 'equipment', 'performance', 'attribute', 'of', 'the', 'initiating', 'events', 'cornerstone', 'and', 'adversely', 'affected', 'the', 'cornerstone', 'objective', 'of', 'limiting', 'the', 'likelihood', 'of', 'events', 'that', 'upset', 'plant']",191,2105,2385,ML082060602.txt,O,D,0.7993217706680298,0.800000011920929,0.18823529411764706
4944,"['the', 'primary', 'cause', 'of', 'this', 'finding', 'was', 'related', 'to', 'the', 'aspect', 'in', 'the', 'area', 'of', 'problem', 'identification', 'and', 'resolution', 'because', 'the', 'organization', 'failed', 'to', 'properly', 'identify', 'issues', 'related', 'to', 'nuclear', 'safety']",191,2919,3139,ML082060602.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
5028,"['during', 'the', 'response', 'to', 'the', 'high', 'radiation', 'licensee', 'personnel', 'identified', 'that', 'the', 'hydrogen', 'water', 'chemistry', 'system', 'was', 'in', 'manual', 'control', 'when', 'it', 'should', 'have', 'been', 'in', 'automatic', 'to', 'adjust', 'hydrogen', 'injection', 'rate', 'with']",231,507,739,ML082060602.txt,P,P,0.7993217706680298,0.800000011920929,0.18823529411764706
5077,"['on', 'february', 'the', 'licensee', 'discovered', 'that', 'minimum', 'flow', 'requirements', 'for', 'operability', 'were', 'not', 'met', 'for', 'the', 'ecc', 'subsystem', 'since', 'february', 'at', 'which', 'required', 'that', 'ecc', 'to', 'be', 'declared']",237,1810,2048,ML082060602.txt,T,P,0.7993217706680298,0.800000011920929,0.18823529411764706
5087,"['specifically', 'the', 'rhr', 'head', 'spray', 'isolation', 'valve', 'an', 'unlocked', 'was', 'not', 'verified', 'for']",241,461,589,ML082060602.txt,O,D,0.7993217706680298,0.800000011920929,0.18823529411764706
5104,"['the', 'officer', 'also', 'entered', 'the', 'same', 'area', 'during', 'second', 'fire', 'watch', 'tour', 'later', 'that']",241,2939,3025,ML082060602.txt,H,D,0.7993217706680298,0.800000011920929,0.18823529411764706
5192,"['the', 'nrc', 'identified', 'green', 'finding', 'for', 'the', 'failure', 'to', 'establish', 'preventive', 'maintenance', 'strategy', 'for', 'fire', 'safe', 'shutdown', 'switches', 'in', 'accordance', 'with', 'the', 'exelon', 'procedure', 'preventive', 'maintenance']",42,2462,2693,ML13182A476.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
5255,"['of', 'the', 'limerick', 'generating', 'station', 'operating', 'in', 'that', 'exelon', 'did', 'not', 'provide', 'adequate', 'procedural', 'guidance', 'for', 'transporting', 'the', 'fire', 'brigade', 'and', 'equipment', 'to', 'the', 'spray', 'pond', 'pump']",56,426,621,ML13182A476.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
5274,"['the', 'inspectors', 'determined', 'that', 'the', 'haz', 'mat', 'vehicle', 'was', 'sport', 'utility', 'vehicle', 'capable', 'of', 'transporting', 'the', 'fire', 'but', 'that', 'it', 'had', 'been', 'replaced', 'several', 'years', 'ago', 'with', 'pickup', 'truck', 'that', 'is', 'often']",56,2187,2401,ML13182A476.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
5275,"['the', 'team', 'also', 'noted', 'that', 'the', 'phone', 'extensions', 'that', 'were', 'provided', 'would', 'not', 'be', 'helpful', 'in', 'acquiring']",56,2401,2515,ML13182A476.txt,O,D,0.7993217706680298,0.800000011920929,0.18823529411764706
5342,"['findings', 'the', 'team', 'identified', 'finding', 'of', 'very', 'low', 'safety', 'significance', 'for', 'the', 'failure', 'to', 'establish', 'preventive', 'maintenance', 'strategy', 'for', 'fire', 'safe', 'shutdown']",78,525,732,ML13182A476.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
5366,"['by', 'failing', 'to', 'establish', 'preventive', 'maintenance', 'strategy', 'for', 'fire', 'safe', 'shutdown', 'exelon', 'did', 'not', 'ensure', 'that', 'the', 'local', 'control', 'circuits', 'for', 'several', 'breakers', 'would', 'be', 'isolated', 'from', 'the', 'effects', 'of', 'fire']",80,2462,2715,ML13182A476.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
