,end_pos,file,line,start_pos,text,Y,Predicted_Values
390,1461,ML14041A484.txt,187,1338,"['the', 'noed', 'specified', 'the', 'most', 'likely', 'cause', 'was', 'slug', 'flow', 'caused', 'by', 'high', 'oil', 'level', 'or', 'malfunctioning', 'thermal', 'expansion']",D,T
401,2940,ML14041A484.txt,187,2721,"['in', 'this', 'instance', 'pressure', 'switch', 'had', 'failed', 'due', 'to', 'the', 'same', 'process', 'fluid', 'fouling', 'different', 'portion', 'of', 'the', 'so', 'even', 'though', 'the', 'symptoms', 'were', 'different', 'in', 'this', 'the', 'root', 'cause', 'of', 'the', 'failure', 'was', 'the']",D,T
404,3346,ML14041A484.txt,187,3166,"['the', 'report', 'concluded', 'that', 'the', 'vibrations', 'and', 'slugging', 'was', 'most', 'likely', 'induced', 'by', 'leftover', 'flushing', 'chemicals', 'and', 'debris', 'that', 'have', 'been', 'subsequently', 'loosened', 'into', 'the', 'process']",D,T
424,3438,ML14041A484.txt,191,3234,"['the', 'train', 'class', 'air', 'conditioning', 'unit', 'had', 'to', 'be', 'removed', 'from', 'service', 'due', 'to', 'internal', 'debris', 'on', 'june', 'september', 'and', 'october', 'before', 'the', 'cause', 'was', 'identified', 'and']",P,T
657,2404,ML14087A338.txt,40,2232,"['failure', 'to', 'track', 'the', 'growth', 'of', 'existing', 'cracks', 'on', 'the', 'reactor', 'building', 'could', 'allow', 'degradation', 'to', 'continue', 'to', 'the', 'point', 'of', 'affecting', 'the', 'structural']",T,T
830,739,ML14087A338.txt,86,512,"['the', 'team', 'determined', 'that', 'the', 'licensee', 'had', 'not', 'met', 'commitment', 'to', 'develop', 'wall', 'thinning', 'inspection', 'program', 'aging', 'management', 'program', 'as', 'described', 'in', 'letter', 'to', 'attachment', 'arkansas', 'nuclear', 'unit']",P,P
894,2330,ML14087A338.txt,96,2276,"['failure', 'to', 'reassess', 'the', 'effects', 'of', 'aging']",T,T
927,800,ML14087A338.txt,102,597,"['the', 'team', 'identified', 'green', 'violation', 'of', 'cfr', 'part', 'appendix', 'criterion', 'which', 'in', 'that', 'affecting', 'quality', 'shall', 'be', 'accomplished', 'in', 'accordance', 'with']",P,P
1223,2293,ML14087A338.txt,142,2136,"['the', 'team', 'confirmed', 'that', 'the', 'licensee', 'documented', 'their', 'inspections', 'but', 'had', 'not', 'established', 'means', 'to', 'monitor', 'for', 'changes', 'as', 'specified', 'in', 'procedure']",P,P
1229,3269,ML14087A338.txt,142,2960,"['although', 'personnel', 'review', 'the', 'results', 'from', 'previous', 'year', 'inspection', 'the', 'team', 'determined', 'the', 'present', 'methods', 'for', 'tracking', 'deficiencies', 'could', 'limit', 'effectiveness', 'and', 'ability', 'of', 'engineering', 'personnel', 'to', 'readily', 'retrieve', 'all', 'available', 'history', 'and', 'trends', 'and', 'to', 'monitor', 'issues', 'identified', 'by', 'other']",P,P
1934,1232,ML12027A131.txt,162,1162,"['operators', 'quickly', 'determined', 'that', 'step', 'had', 'not', 'been']",H,T
2348,498,ML13298A103.txt,66,118,"['the', 'corrective', 'actions', 'that', 'resulted', 'from', 'the', 'review', 'of', 'the', 'tn', 'bulletin', 'as', 'documented', 'in', 'the', 'condition', 'report', 'included', 'the', 'revision', 'to', 'comanche', 'peak', 'procedure', 'to', 'require', 'the', 'dcs', 'project', 'manager', 'to', 'verify', 'that', 'there', 'had', 'been', 'no', 'change', 'to', 'either', 'the', 'welding', 'equipment', 'or', 'hydrogen', 'gas', 'monitors', 'or', 'their', 'setups', 'prior', 'to', 'each', 'new', 'loading']",P,T
2543,3393,ML11244A041.txt,43,3213,"['during', 'system', 'walkdown', 'with', 'licensee', 'the', 'drain', 'was', 'found', 'clogged', 'and', 'the', 'inspectors', 'noted', 'the', 'individual', 'had', 'not', 'planned', 'to', 'enter', 'the', 'issue', 'into', 'the', 'cap', 'enclosure']",T,T
2608,794,ML11244A041.txt,65,631,"['the', 'fsar', 'credited', 'the', 'seals', 'for', 'flood', 'while', 'the', 'engineering', 'walkdown', 'for', 'the', 'tar', 'concluded', 'the', 'flooding', 'scenario', 'discussed', 'in', 'the', 'fsar', 'would', 'not']",O,P
2624,444,ML11244A041.txt,67,291,"['the', 'inspectors', 'found', 'an', 'issue', 'concerning', 'inappropriate', 'breaching', 'of', 'helb', 'doors', 'during', 'plant', 'modifications', 'that', 'was', 'entered', 'into', 'the', 'cap', 'in', 'february']",O,T
2644,2979,ML11244A041.txt,67,2856,"['subsequent', 'investigation', 'found', 'that', 'some', 'high', 'activity', 'smears', 'were', 'thrown', 'in', 'the', 'nearby', 'causing', 'the', 'high']",T,T
2645,3147,ML11244A041.txt,67,2979,"['the', 'smears', 'were', 'there', 'because', 'they', 'had', 'been', 'used', 'in', 'the', 'isolo', 'which', 'was', 'considered', 'by', 'the', 'individual', 'inappropriate', 'for', 'this', 'high', 'level', 'of']",O,P
2649,279,ML11244A041.txt,69,213,"['the', 'ar', 'initiator', 'was', 'not', 'consulted', 'or', 'satisfied', 'with', 'this']",O,T
2706,3315,ML11244A041.txt,73,3175,"['in', 'five', 'observations', 'from', 'march', 'through', 'april', 'nos', 'insights', 'included', 'including', 'schedule']",O,T
2752,2093,ML11244A041.txt,117,0,"['potential', 'with', 'np', 'requirements', 'helb', 'penetration', 'potential', 'spec', 'inadequate', 'closure', 'of', 'inadequate', 'cold', 'weather', 'preparation', 'cap', 'closure', 'inadequate', 'implementation', 'of', 'bechtel', 'qa', 'program', 'sfp', 'cooler', 'shell', 'side', 'fouling', 'mussel', 'cap', 'inadequate', 'closure', 'monthly', 'test', 'failure', 'functionality', 'assessment', 'process', 'shortfalls', 'fire', 'seals', 'at', 'are', 'deficient', 'dc', 'bus', 'bar', 'ampacity', 'condition', 'indicates', 'intermediate', 'in', 'the', 'control', 'room', 'indicates', 'intermediate', 'in', 'the', 'control', 'room', 'indicates', 'intermediate', 'in', 'the', 'control', 'room', 'leaks', 'by', 'gpm', 'during', 'received', 'ppcs', 'alarm', 'cntnt', 'hi', 'range', 'rad', 'sr', 'ni', 'sur', 'spike', 'on', 'both', 'channels', 'when', 'shifting', 'modes', 'on', 'csds', 'channel', 'failed', 'to', 'indicate', 'when', 'energized', 'isolation', 'amp', 'output', 'to', 'ppcs', 'left', 'out', 'of', 'tolerance', 'pmo', 'change', 'may', 'not', 'be', 'appropriate', 'system', 'server', 'receives', 'fail', 'low', 'at', 'midnight', 'with', 'helb', 'requirements', 'waste', 'water', 'effluent', 'rad', 'monitor', 'fail', 'external', 'alarms', 'unit', 'containment', 'low', 'range', 'monitor', 'spike', 'high', 'discovered', 'ba', 'evap', 'cc', 'supply', 'throttled', 'outdated', 'helb', 'barrier', 'postings', 'drumming', 'area', 'vent', 'stack', 'had', 'multiple', 'alert', 'alarms', 'secured', 'without', 'notifying', 'rp', 'ace', 'quality', 'did', 'not', 'meet', 'expectations', 'ace', 'quality', 'did', 'not', 'meet', 'expectations', 'unit', 'condenser', 'fouling', 'increase', 'containment', 'paint', 'chips', 'and', 'dust', 'on', 'sump', 'pump', 'screen', 'inappropriate', 'cap', 'closure', 'out', 'of', 'tolerance', 'control', 'room', 'alarms', 'disabled', 'during', 'epu', 'mod', 'fission', 'channel', 'oos', 'greater', 'than', 'days', 'new', 'afw', 'meter', 'faces', 'are', 'not', 'labeled', 'properly', 'unit', 'reactor', 'startup', 'was', 'aborted', 'helb', 'door', 'not', 'closing', 'properly', 'ldgs', 'building', 'rad', 'monitor', 'alert', 'alarm', 'cw', 'system', 'yellow', 'work', 'order', 'closed', 'with', 'work', 'not', 'performed', 'elevated', 'and', 'ace', 'failed', 'to', 'meet', 'minimum', 'requirements', 'helb', 'barrier', 'controls', 'from', 'ar', 'effect', 'of', 'breached', 'helb', 'barrier', 'on', 'tech', 'spec', 'equipment']",O,P
2770,911,ML11244A041.txt,145,0,"['procedure', 'inadequacy', 'led', 'to', 'being', 'left', 'in', 'stop', 'was', 'found', 'with', 'debris', 'preventing', 'an', 'alarm', 'unexpected', 'common', 'process', 'radiation', 'monitor', 'high', 'needs', 'repair', 'taken', 'from', 'the', 'store', 'room', 'needs', 'pra', 'diesel', 'air', 'compressor', 'status', 'blowdown', 'sample', 'filter', 'plugged', 'high', 'alarm', 'setpoint', 'change', 'required', 'low', 'flow', 'due', 'to', 'blockage', 'drum', 'area', 'vent', 'lr', 'gas', 'rad', 'drum', 'area', 'exh', 'low', 'range', 'gas', 'channel', 'alert', 'car', 'sw', 'butterfly', 'valve', 'replacements', 'caps', 'closed', 'to', 'work', 'orders', 'review', 'initial', 'classification', 'of', 'rcs', 'leak', 'at', 'ce', 'assignment', 'ccw', 'pump', 'oil', 'bubbler', 'low', 'hoist', 'separation', 'from', 'lift', 'beam', 'during', 'sw', 'pump', 'maintenance', 'work', 'management', 'root', 'cause', 'evaluation', 'potential', 'ncv', 'on', 'failure', 'to', 'submit', 'ler', 'on', 'helb', 'issues', 'potential', 'with', 'np']",O,P
3144,1323,ML13182A476.txt,42,1128,"['of', 'the', 'limerick', 'generating', 'station', 'operating', 'in', 'that', 'exelon', 'did', 'not', 'provide', 'adequate', 'procedural', 'guidance', 'for', 'transporting', 'the', 'fire', 'brigade', 'and', 'equipment', 'to', 'the', 'spray', 'pond', 'pump']",P,T
3770,2149,ML071350662.txt,31,1877,"['this', 'finding', 'is', 'more', 'than', 'minor', 'because', 'it', 'is', 'associated', 'with', 'the', 'design', 'control', 'attribute', 'and', 'affects', 'the', 'mitigating', 'systems', 'cornerstone', 'objective', 'to', 'ensure', 'the', 'reliability', 'of', 'the', 'dry', 'cooling', 'tower', 'system', 'during', 'the', 'probable', 'maximum', 'precipitation', 'event', 'on', 'the', 'plant']",D,T
