,end_pos,file,line,start_pos,text,Y,Predicted_Values,Train_Accuracy,Val_Accuracy,Test_Accuracy
798,1791,ML14087A338.txt,82,1683,"['the', 'licensee', 'could', 'not', 'replace', 'the', 'bolts', 'because', 'of', 'interference', 'created', 'by', 'the', 'shock', 'pads', 'prevented']",D,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
801,2485,ML14087A338.txt,82,2258,"['the', 'team', 'determined', 'that', 'the', 'licensee', 'had', 'not', 'met', 'commitment', 'to', 'develop', 'reactor', 'vessel', 'internals', 'program', 'aging', 'management', 'program', 'as', 'described', 'in', 'letter', 'to', 'attachment', 'arkansas', 'nuclear', 'unit']",P,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
821,2427,ML14087A338.txt,84,2258,"['the', 'team', 'determined', 'that', 'the', 'program', 'document', 'did', 'not', 'describe', 'scheduling', 'basis', 'of', 'line', 'basis', 'for', 'inspection', 'and', 'plans', 'for']",P,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
889,1413,ML14087A338.txt,96,1221,"['during', 'discussions', 'the', 'team', 'determined', 'that', 'the', 'licensee', 'had', 'not', 'established', 'method', 'to', 'consistently', 'evaluate', 'previously', 'identified', 'conditions', 'as', 'specified', 'in', 'their', 'plant']",P,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
927,800,ML14087A338.txt,102,597,"['the', 'team', 'identified', 'green', 'violation', 'of', 'cfr', 'part', 'appendix', 'criterion', 'which', 'in', 'that', 'affecting', 'quality', 'shall', 'be', 'accomplished', 'in', 'accordance', 'with']",P,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
929,1325,ML14087A338.txt,102,1102,"['contrary', 'to', 'the', 'prior', 'to', 'september', 'for', 'inspection', 'activities', 'affecting', 'the', 'licensee', 'failed', 'to', 'inspect', 'previously', 'identified', 'crack', 'areas', 'to', 'confirm', 'no', 'changes', 'had', 'occurred', 'as', 'required', 'by']",O,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
958,169,ML14087A338.txt,106,0,"['licensee', 'initiated', 'commitment', 'to', 'track', 'the', 'required', 'flaw', 'evaluations', 'for', 'the', 'reactor', 'coolant', 'pump', 'consequently', 'the', 'team', 'considered', 'commitment']",D,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
1219,1756,ML14087A338.txt,142,1496,"['during', 'discussions', 'the', 'first', 'week', 'of', 'the', 'structures', 'monitoring', 'program', 'staff', 'informed', 'the', 'inspectors', 'that', 'the', 'position', 'of', 'the', 'program', 'as', 'designated', 'in', 'procedure', 'en', 'section', 'was', 'not', 'currently', 'filled', 'at', 'the']",P,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
1231,165,ML14087A338.txt,144,0,"['action', 'to', 'develop', 'tool', 'to', 'compile', 'results', 'and', 'findings', 'that', 'would', 'provide', 'more', 'effective', 'retrieval', 'of', 'history', 'related', 'to', 'structural']",P,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
1235,1097,ML14087A338.txt,144,783,"['based', 'on', 'review', 'of', 'the', 'actions', 'implemented', 'related', 'to', 'the', 'maintenance', 'rule', 'structural', 'program', 'aging', 'management', 'the', 'team', 'concluded', 'the', 'licensee', 'had', 'not', 'completed', 'all', 'actions', 'needed', 'to', 'ensure', 'this', 'aging', 'management', 'program', 'will', 'effectively', 'manage', 'the', 'effects', 'of', 'aging', 'during', 'the', 'period', 'of', 'extended']",O,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
2543,3393,ML11244A041.txt,43,3213,"['during', 'system', 'walkdown', 'with', 'licensee', 'the', 'drain', 'was', 'found', 'clogged', 'and', 'the', 'inspectors', 'noted', 'the', 'individual', 'had', 'not', 'planned', 'to', 'enter', 'the', 'issue', 'into', 'the', 'cap', 'enclosure']",T,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
2589,3285,ML11244A041.txt,53,3184,"['the', 'operability', 'section', 'did', 'not', 'address', 'the', 'degraded', 'or', 'condition', 'of', 'the', 'ground']",P,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
2605,373,ML11244A041.txt,65,306,"['the', 'conduct', 'of', 'reportability', 'evaluations', 'was', 'also', 'found', 'to', 'be']",O,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
2608,794,ML11244A041.txt,65,631,"['the', 'fsar', 'credited', 'the', 'seals', 'for', 'flood', 'while', 'the', 'engineering', 'walkdown', 'for', 'the', 'tar', 'concluded', 'the', 'flooding', 'scenario', 'discussed', 'in', 'the', 'fsar', 'would', 'not']",O,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
2624,444,ML11244A041.txt,67,291,"['the', 'inspectors', 'found', 'an', 'issue', 'concerning', 'inappropriate', 'breaching', 'of', 'helb', 'doors', 'during', 'plant', 'modifications', 'that', 'was', 'entered', 'into', 'the', 'cap', 'in', 'february']",O,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
2626,711,ML11244A041.txt,67,568,"['in', 'june', 'the', 'nrc', 'identified', 'that', 'the', 'control', 'room', 'helb', 'was', 'blocked', 'open', 'by', 'violation', 'of', 'helb']",T,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
2645,3147,ML11244A041.txt,67,2979,"['the', 'smears', 'were', 'there', 'because', 'they', 'had', 'been', 'used', 'in', 'the', 'isolo', 'which', 'was', 'considered', 'by', 'the', 'individual', 'inappropriate', 'for', 'this', 'high', 'level', 'of']",O,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
2752,2093,ML11244A041.txt,117,0,"['potential', 'with', 'np', 'requirements', 'helb', 'penetration', 'potential', 'spec', 'inadequate', 'closure', 'of', 'inadequate', 'cold', 'weather', 'preparation', 'cap', 'closure', 'inadequate', 'implementation', 'of', 'bechtel', 'qa', 'program', 'sfp', 'cooler', 'shell', 'side', 'fouling', 'mussel', 'cap', 'inadequate', 'closure', 'monthly', 'test', 'failure', 'functionality', 'assessment', 'process', 'shortfalls', 'fire', 'seals', 'at', 'are', 'deficient', 'dc', 'bus', 'bar', 'ampacity', 'condition', 'indicates', 'intermediate', 'in', 'the', 'control', 'room', 'indicates', 'intermediate', 'in', 'the', 'control', 'room', 'indicates', 'intermediate', 'in', 'the', 'control', 'room', 'leaks', 'by', 'gpm', 'during', 'received', 'ppcs', 'alarm', 'cntnt', 'hi', 'range', 'rad', 'sr', 'ni', 'sur', 'spike', 'on', 'both', 'channels', 'when', 'shifting', 'modes', 'on', 'csds', 'channel', 'failed', 'to', 'indicate', 'when', 'energized', 'isolation', 'amp', 'output', 'to', 'ppcs', 'left', 'out', 'of', 'tolerance', 'pmo', 'change', 'may', 'not', 'be', 'appropriate', 'system', 'server', 'receives', 'fail', 'low', 'at', 'midnight', 'with', 'helb', 'requirements', 'waste', 'water', 'effluent', 'rad', 'monitor', 'fail', 'external', 'alarms', 'unit', 'containment', 'low', 'range', 'monitor', 'spike', 'high', 'discovered', 'ba', 'evap', 'cc', 'supply', 'throttled', 'outdated', 'helb', 'barrier', 'postings', 'drumming', 'area', 'vent', 'stack', 'had', 'multiple', 'alert', 'alarms', 'secured', 'without', 'notifying', 'rp', 'ace', 'quality', 'did', 'not', 'meet', 'expectations', 'ace', 'quality', 'did', 'not', 'meet', 'expectations', 'unit', 'condenser', 'fouling', 'increase', 'containment', 'paint', 'chips', 'and', 'dust', 'on', 'sump', 'pump', 'screen', 'inappropriate', 'cap', 'closure', 'out', 'of', 'tolerance', 'control', 'room', 'alarms', 'disabled', 'during', 'epu', 'mod', 'fission', 'channel', 'oos', 'greater', 'than', 'days', 'new', 'afw', 'meter', 'faces', 'are', 'not', 'labeled', 'properly', 'unit', 'reactor', 'startup', 'was', 'aborted', 'helb', 'door', 'not', 'closing', 'properly', 'ldgs', 'building', 'rad', 'monitor', 'alert', 'alarm', 'cw', 'system', 'yellow', 'work', 'order', 'closed', 'with', 'work', 'not', 'performed', 'elevated', 'and', 'ace', 'failed', 'to', 'meet', 'minimum', 'requirements', 'helb', 'barrier', 'controls', 'from', 'ar', 'effect', 'of', 'breached', 'helb', 'barrier', 'on', 'tech', 'spec', 'equipment']",O,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
2758,1547,ML11244A041.txt,129,0,"['initiator', 'feedback', 'improvement', 'containment', 'isolation', 'valve', 'stroke', 'time', 'testing', 'ts', 'scheduled', 'too', 'close', 'to', 'compliance', 'unit', 'manual', 'reactor', 'trip', 'during', 'reactor', 'startup', 'nrc', 'questions', 'regarding', 'helb', 'oil', 'leak', 'on', 'ccw', 'pump', 'outboard', 'bearing', 'ler', 'required', 'for', 'past', 'help', 'issues', 'gas', 'intrusion', 'inspection', 'discussion', 'north', 'hdr', 'vlv', 'mid', 'position', 'when', 'valve', 'locally', 'shut', 'sw', 'temperature', 'limit', 'not', 'specified', 'for', 'lhsi', 'sentinel', 'point', 'monitoring', 'results', 'unexpected', 'control', 'room', 'alarms', 'downpower', 'required', 'water', 'seals', 'on', 'top', 'of', 'missing', 'degraded', 'cdbi', 'fsa', 'calc', 'stpt', 'vs', 'epu', 'implementation', 'chemistry', 'not', 'notified', 'of', 'being', 'taken', 'oos', 'and', 'rts', 'identified', 'issues', 'design', 'flaw', 'in', 'capacitor', 'bank', 'setpoint', 'replacement', 'rms', 'isolation', 'transformer', 'and', 'parts', 'needed', 'potential', 'ncv', 'on', 'failure', 'to', 'submit', 'ler', 'on', 'helb', 'issues', 'unit', 'and', 'and', 'capacitor', 'issues', 'cr', 'related', 'to', 'unit', 'closed', 'inappropriately', 'increasing', 'sample', 'flow', 'on', 'sping', 'breaker', 'failed', 'to', 'open', 'during', 'testing', 'stopped', 'open', 'inpo', 'ier', 'oyster', 'creek', 'scram', 'during', 'startup', 'water', 'seals', 'on', 'top', 'of', 'amsac', 'function', 'was', 'disabled', 'failure', 'to', 'obtain', 'sro', 'approval', 'prior', 'to', 'start', 'of', 'work', 'found', 'isolated', 'and', 'equalized', 'icp', 'found', 'oot', 'poor', 'status', 'control', 'of', 'service', 'water', 'ring', 'header', 'indicating', 'with', 'detector', 'preconditioning', 'of', 'the', 'unit', 'cfcs', 'on', 'dam', 'battery']",O,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
4019,1996,ML071350662.txt,161,1732,"['the', 'finding', 'was', 'greater', 'than', 'minor', 'because', 'it', 'affected', 'the', 'mitigating', 'systems', 'cornerstone', 'objective', 'control', 'to', 'assure', 'the', 'and', 'capability', 'of', 'systems', 'that', 'respond', 'to', 'initiating', 'events', 'to', 'prevent', 'undesirable']",O,H,0.8297490477561951,0.8333332538604736,0.06451612903225806
4035,1318,ML071350662.txt,167,1123,"['the', 'licensee', 'identified', 'that', 'maintenance', 'craftsmen', 'had', 'failed', 'to', 'follow', 'loop', 'calibration', 'procedure', 'for', 'the', 'train', 'reactor', 'auxiliary', 'building', 'controlled', 'ventilation', 'system', 'on', 'january']",P,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
