text,Y,Predicted_Values
"The maintenance staff performing the surveillance reported to operations management that the surveillance failed, but they attributed the failure to an installed testing circuit and not the actual logic control circuit for Unit 3 RBM channel 7.",T,T
"The inspectors determined that the licensee failed to correctly identify the ""sneak circuit"" as the cause of the Screen Wash Pump X-01 trips, and took inadequate corrective actions, which generated an inadequate procedure.",O,O
"Based upon review of the notes from the interviews conducted by the licensee, the inspectors concluded that the maintenance personnel did not recognize the corrosion as there was discussion of a baking soda residue left over from cleaning.",T,O
The inspectors determined that the cause of the finding had a cross-cutting aspect in the area of human performance.,O,T
"In 2009, a NOS (Nuclear Oversight--quality assurance) surveillance, PBN 10-003, ""2009 4th Quarter Site Quarter Priority DQS Roll-up,"" (PBNP-QA-10-01), was conducted of the Bechtel CAP and concluded the Bechtel QA [Quality Assurance] Program for the EPU project during the Unit 2 refueling outage 30 was inadequate and did not prevent significant performance deficiencies from occurring and recurring.",O,O
The equipment operator that manipulated the key switch after the 22 CAC postmaintenance test failure did not question why the 21 CAC chiller did not start after placing the key switch in the run position.,H,H
(Section 4OA3) Cornerstone: Mitigating Systems åá Green.,O,O
"PSEG did not locate the vendor documents for the DMV sight glass onsite following the trip, and PSEG had not incorporated this guidance into the plant maintenance procedures.",T,T
"By not testing these switches, there are failure mechanisms that are not monitored, such as a deck of contacts failing to rotate properly.",T,O
"Specifically, the licensee failed to control the amount and location of transient combustibles material as required by the fire protection program in areas that contained safety-related components.",O,O
"However, neither of these procedures discussed when and who should evaluate and implement interim or compensatory corrective actions and hence they may not be done.",O,O
"The licensee eventually determined that the probable cause of the failures was the failure to adequately chemically clean the system following the failure of a charcoal filter, in that some charcoal and cleaning agent was not removed following the work activity.",O,O
"The root cause analysis also determined that the work performed under Work Order 13-370447-007, was not in accordance with station procedural requirements.",T,O
"Specifically, the performance deficiency affected the availability, reliability, and capability of the Unit 2 TDAFW pump to provide secondary decay heat removal.",O,O
"A Severity Level IV NCV of 10 CFR 50.71(e), ""Periodic Update of the Final Safety Analysis Report"" (USFAR) and an accompanying Green finding were identified by the inspectors for the licensee's failure to update the Updated Final Safety Analysis Report (UFSAR) for a design modification performed on the Unit 3 reactor water cleanup (RWCU) system.",O,O
"where applicable, test results not meeting acceptance criteria were addressed with an adequate operability evaluation or the system or component was declared inoperable; where applicable for safety-related instrument control surveillance tests, reference setting data were accurately incorporated in the test procedure; where applicable, actual conditions encountering high resistance electrical contacts were such that the intended safety function could still be accomplished; prior procedure changes had not provided an opportunity to identify problems encountered during the performance of the surveillance or calibration test; equipment was returned to a position or status required to support the performance of its safety functions; and all problems identified during the testing were appropriately documented and dispositioned in the CAP.",P,O
"Resulting corrective actions included training, lowering the threshold for Bechtel personnel entering issues into the CAP, encouraging personnel to enter issues into CAP, thorough and timely resolution of CAP issues, and the use of the Point Beach CAP for all issues or events related to equipment problems within the scope of the Bechtel contract.",O,T
Analysis: Failure to perform a design change evaluation that identifies an adverse condition created by the change is a performance deficiency.,O,O
"Specifically, incorrectly performed maintenance degraded both availability and reliability of the 22 CAC.",O,O
"Specifically, the licensee failed to perform a subsequent visual inspection of concrete cracks that exceeded acceptable criteria in the previous 5-year inspection as specified in Procedure CEP-CII-004, ""General and Detailed Visual Examinations of Concrete Containments,"" Revision 306.",O,O
"Analysis: The inspectors determined that energizing a safety-related electrical bus, which still had a ground truck installed in bus 65E breaker position E4, and the subsequent tripping of the `A' RHR pump while operating in shutdown cooling mode with the plant in Mode 5 was a performance deficiency that required evaluation using the SDP.",O,O
The team confirmed that the licensee documented their inspections but had not established a means to monitor for changes as specified in Procedure EN-DC-150.,O,O
"Specifically, the fire watches failed to report an accumulation of combustibles including a plastic cart, a tool bag, and a large roll of oil absorbing material near safety-related components.",O,O
"Specifically, the maintenance personnel who had performed the battery surveillance did not have sufficient training to recognize the presence of corrosion.",O,T
Design engineering's review determined that failed relays in the quad trip cards of Unit 2 RBM channel 8 and Unit 3 RBM channel 7 manifested in LPRM Bypassed lights inappropriately extinguished and the failure to create surveillance requirement conditions during subsequent testing on both units and represented failure of both RBM channels.,T,H
"During a system walkdown with a licensee individual, the drain was found clogged and the inspectors noted the individual had not planned to enter the issue into the CAP 3 Enclosure",H,O
The inspectors identified a finding of very low safety significance for failure to assure that the design basis for the dry cooling tower diesel-driven sump pumps was properly implemented.,D,D
"Based on the lack of understanding of the transient combustible program exhibited by maintenance and other plant personnel, the inspectors concluded that the fire watch personnel similarly lacked a full understanding of the transient combustible program requirements.",T,T
"Specifically, the licensee failed to monitor the specified primary instrumentation for critical plant parameters.",O,O
Operators still did not initiate additional log readings for the SW HXs listed in Attachment 3.,T,T
"The performance deficiency is more than minor because it affected the equipment performance attribute of the Mitigating Systems Cornerstone objective to ensure the availability, reliability, and capability of systems that respond to initiating events to prevent undesirable consequences.",O,O
The inspectors determined that the cause of this finding was related to the Work Practices component of the Human Performance cross-cutting area due to lessthan-adequate human error prevention techniques [H.4(a)].,T,T
This condition was caused by an inadequate test connection.,P,O
"Specifically, the licensee failed to control reactor pressure in the band specified in the reactor pressure vessel (RPV) hydrostatic test procedure.",O,O
The inspection also revealed a weakness in identifying trends in human performance and equipment issues.,O,O
