,Unnamed: 0,text,line,start_pos,end_pos,file,class,Y,Predicted_Values
97,97,"['those', 'monitoring', 'locations', 'were', 'identified', 'in', 'documents', 'provided', 'to', 'nrc', 'as', 'location', 'numbers', 'through', 'table']",45.0,2783.0,2912.0,ML13298A103.txt,0.0,U,U
100,100,"['those', 'values', 'converted', 'to', 'dose', 'rates', 'of', 'to']",49.0,499.0,557.0,ML13298A103.txt,0.0,U,U
104,104,"['at', 'the', 'time', 'of', 'the', 'cpnpp', 'was', 'in', 'the', 'midst', 'of', 'its', 'second', 'isfsi', 'loading']",49.0,955.0,1046.0,ML13298A103.txt,0.0,U,U
106,106,"['three', 'empty', 'were', 'also', 'stored', 'on', 'the', 'pad', 'at', 'the', 'southeast', 'parallel', 'to', 'the', 'southern']",49.0,1196.0,1315.0,ML13298A103.txt,0.0,U,U
117,117,"['yearly', 'monitoring', 'estimates', 'are', 'based', 'on', 'actual', 'monitoring', 'data', 'that', 'overlapped', 'calendar']",52.0,0.0,95.0,ML13298A103.txt,0.0,U,U
120,120,"['estimated', 'value', 'based', 'on', 'three', 'quarters', 'of', 'monitoring']",52.0,218.0,279.0,ML13298A103.txt,0.0,U,U
125,125,"['offsite', 'doses', 'due', 'to', 'the', 'isfsi', 'were', 'well', 'below', 'regulatory']",56.0,424.0,489.0,ML13298A103.txt,0.0,U,U
126,126,"['records', 'related', 'to', 'fuel', 'stored', 'in', 'the', 'casks', 'site', 'as', 'required', 'by', 'cfr', 'which', 'described', 'the', 'spent', 'fuel', 'in', 'dry', 'fuel', 'storage', 'at', 'comanche', 'peak', 'nuclear', 'were', 'reviewed', 'by']",56.0,489.0,692.0,ML13298A103.txt,0.0,U,U
137,137,"['the', 'time', 'from', 'grappling', 'the', 'placing', 'the', 'assembly', 'into', 'the', 'assigned', 'canister', 'and', 'returning', 'to', 'the', 'next', 'assigned', 'spent', 'fuel', 'assembly', 'was']",56.0,2241.0,2408.0,ML13298A103.txt,0.0,U,N
142,142,"['hydrogen', 'monitoring', 'was', 'performed', 'during', 'the', 'welding', 'of', 'the', 'root', 'weld', 'and', 'subsequent']",56.0,2760.0,2852.0,ML13298A103.txt,0.0,U,U
143,143,"['the', 'licensee', 'utilized', 'rki', 'instruments', 'eagle', 'type', 'for', 'monitoring', 'of', 'explosive', 'gas', 'during', 'the', 'root', 'pass', 'welding', 'and', 'then', 'used', 'the', 'rki', 'eagle', 'type', 'for', 'monitoring', 'during', 'subsequent', 'passes', 'for', 'lid', 'to', 'shell']",56.0,2852.0,3077.0,ML13298A103.txt,0.0,U,N
144,144,"['both', 'instruments', 'had', 'been', 'calibrated', 'on', 'august']",56.0,3077.0,3133.0,ML13298A103.txt,0.0,U,U
152,152,"['comanche', 'isfsi', 'personnel', 'were', 'aware', 'of', 'the', 'event', 'but', 'had', 'not', 'received', 'the', 'bulletin', 'due', 'to', 'the', 'system', 'used', 'at', 'nmp', 'was', 'of', 'different', 'cask']",58.0,1087.0,1238.0,ML13298A103.txt,0.0,U,N
161,161,"['monitor', 'was', 'used', 'until', 'the', 'lid', 'to', 'shell', 'root', 'pass', 'had', 'been', 'completed', 'and', 'the', 'mpc', 'was']",58.0,2536.0,2641.0,ML13298A103.txt,0.0,U,U
163,163,"['once', 'the', 'root', 'pass', 'had', 'been', 'completed', 'second', 'monitor', 'called', 'the', 'monitor', 'was', 'used', 'to', 'sample', 'the', 'gas', 'mixture', 'that', 'was', 'coming', 'from', 'the', 'vent', 'port', 'of', 'the']",58.0,2840.0,3008.0,ML13298A103.txt,0.0,U,N
164,164,"['holtec', 'loading', 'operations', 'require', 'an', 'argon', 'purge', 'to', 'be', 'initiated', 'during', 'any', 'welding', 'operations', 'to', 'remove', 'any', 'combustible', 'gas', 'out', 'of', 'the', 'cask', 'and', 'away', 'from', 'weld']",58.0,3008.0,3173.0,ML13298A103.txt,0.0,U,N
171,171,"['at', 'comanche', 'peak', 'both', 'rki', 'eagle', 'instruments', 'and', 'type', 'did', 'not', 'contain', 'an', 'internal', 'moisture', 'filter', 'or', 'filter']",62.0,741.0,874.0,ML13298A103.txt,0.0,U,U
173,173,"['the', 'type', 'monitor', 'was', 'equipped', 'with', 'an', 'internal', 'diffuser', 'fitting', 'and', 'was', 'not', 'reliant', 'upon', 'the', 'sample', 'gas', 'as', 'the', 'source', 'for', 'oxygen', 'to', 'detect', 'combustible']",62.0,1102.0,1279.0,ML13298A103.txt,0.0,U,N
177,177,"['in', 'the', 'first', 'campaign', 'the', 'monitor', 'was', 'kept', 'close', 'to', 'the', 'mpc', 'canister', 'with', 'sample', 'tubing', 'length', 'of', 'approximately', 'five']",62.0,1738.0,1875.0,ML13298A103.txt,1.0,U,N
180,180,"['through', 'the', 'review', 'of', 'the', 'tn', 'bulletin', 'of', 'the', 'sample', 'line', 'tubing', 'was', 'performed', 'by', 'the', 'holtec']",62.0,2135.0,2247.0,ML13298A103.txt,0.0,U,U
182,182,"['no', 'loop', 'seal', 'of', 'water', 'had', 'formed', 'in', 'the']",62.0,2345.0,2392.0,ML13298A103.txt,0.0,U,U
183,183,"['welding', 'crew', 'responded', 'appropriately', 'by', 'taking', 'up', 'the', 'slack', 'in', 'the', 'line', 'to', 'remove', 'the', 'low', 'points', 'and', 'drained', 'the', 'small', 'amount', 'of', 'water', 'from', 'the']",62.0,2392.0,2552.0,ML13298A103.txt,0.0,U,N
189,189,"['the', 'type', 'monitor', 'alarmed', 'at', 'approximately', 'one', 'inch', 'away', 'from', 'the', 'open']",62.0,3430.0,3511.0,ML13298A103.txt,0.0,U,U
191,191,[],64.0,0.0,3.0,ML13298A103.txt,0.0,U,U
192,192,"['detection', 'system', 'used', 'in', 'casks', 'thru', 'was', 'adequate', 'and', 'met', 'the', 'requirements', 'in', 'the', 'technical', 'specification']",66.0,0.0,118.0,ML13298A103.txt,0.0,U,U
195,195,"['holtec', 'welding', 'procedure', 'was', 'revised', 'to', 'provide', 'instructions', 'to', 'monitor', 'for', 'and', 'drain', 'water', 'that', 'is', 'found', 'in', 'the', 'hydrogen', 'sample', 'tubing', 'and', 'the', 'change', 'included', 'special', 'cautions', 'and', 'guidance', 'for', 'use', 'of', 'the', 'hydrogen']",66.0,756.0,995.0,ML13298A103.txt,0.0,U,N
201,201,"['technical', 'specification', 'cask', 'temperature', 'monitoring', 'technical', 'specification', 'required', 'either', 'daily', 'inspection', 'of', 'the', 'inlet', 'and', 'outlet', 'vents', 'for', 'blockage', 'or', 'daily', 'verification', 'that', 'the', 'temperature', 'difference', 'between', 'the', 'outlet', 'temperature', 'and', 'the', 'isfsi', 'ambient', 'temperature', 'was', 'less', 'than', 'specified']",74.0,0.0,337.0,ML13298A103.txt,0.0,U,N
210,210,[],76.0,0.0,3.0,ML13298A103.txt,0.0,U,U
218,218,"['based', 'on', 'the', 'level', 'of', 'detail', 'of', 'the', 'corrective', 'action', 'the', 'licensee', 'demonstrated', 'high', 'attention', 'to', 'detail', 'in', 'regards', 'to', 'the', 'maintenance', 'and', 'operation', 'of', 'their', 'isfsi', 'program', 'and', 'the', 'fuel', 'building', 'overhead']",78.0,1152.0,1372.0,ML13298A103.txt,0.0,U,N
223,223,"['financial', 'assurances', 'are', 'financial', 'arrangements', 'provided', 'by', 'the', 'licensee', 'to', 'ensure', 'funds', 'for', 'decommissioning', 'will', 'be', 'available', 'when']",78.0,1971.0,2110.0,ML13298A103.txt,0.0,U,U
226,226,"['comanche', 'peak', 'submitted', 'its', 'isfsi', 'decommissioning', 'funding', 'plan', 'to', 'the', 'nrc', 'for', 'review', 'and', 'approval', 'on', 'december', 'accession']",78.0,2297.0,2436.0,ML13298A103.txt,0.0,U,U
227,227,"['in', 'compliance', 'with', 'the', 'new']",78.0,2436.0,2481.0,ML13298A103.txt,0.0,U,U
235,235,"['these', 'were', 'revision', 'on', 'october', 'revision', 'on', 'july', 'and', 'revision', 'implemented', 'on', 'august']",82.0,269.0,387.0,ML13298A103.txt,0.0,U,U
239,239,"['this', 'change', 'was', 'issued', 'to', 'enhance', 'and', 'improve', 'operator', 'usability', 'and', 'aided', 'in', 'cleaning', 'out', 'systems', 'not', 'used', 'at', 'comanche']",82.0,907.0,1047.0,ML13298A103.txt,0.0,U,U
245,245,"['list', 'of', 'modifications', 'to', 'the', 'isfsi', 'programs', 'and', 'changes', 'to', 'the', 'fuel', 'building', 'overhead', 'crane', 'was', 'provided', 'by', 'the']",82.0,1440.0,1563.0,ML13298A103.txt,0.0,U,N
246,246,"['the', 'licensee', 'had', 'not', 'performed', 'any', 'isfsi', 'evaluations', 'or', 'any', 'crane', 'evaluations', 'since', 'the', 'last', 'nrc', 'inspection', 'in', 'june', 'of']",82.0,1563.0,1699.0,ML13298A103.txt,0.0,U,N
248,248,"['the', 'licensee', 'utilized', 'procedure', 'cfr', 'and', 'cfr', 'revision', 'to', 'perform', 'the', 'cfr', 'or', 'cfr', 'safety', 'screenings', 'or']",82.0,1821.0,1991.0,ML13298A103.txt,1.0,U,N
249,249,"['none', 'of', 'the', 'screenings', 'reviewed', 'required', 'full', 'cfr', 'or', 'cfr', 'safety']",82.0,1991.0,2086.0,ML13298A103.txt,1.0,U,U
252,252,"['findings', 'no', 'findings', 'were']",82.0,2146.0,2183.0,ML13298A103.txt,0.0,U,U
263,263,['attachment'],92.0,0.0,12.0,ML13298A103.txt,0.0,U,U
265,265,"['inclusion', 'on', 'this', 'list', 'does', 'not', 'imply', 'that', 'the', 'nrc', 'inspectors', 'reviewed', 'the', 'documents', 'in', 'their', 'but', 'that', 'selected', 'sections', 'of', 'portions', 'of', 'the', 'documents', 'were', 'evaluated', 'as', 'part', 'of', 'the', 'overall', 'inspection']",94.0,96.0,320.0,ML13298A103.txt,0.0,U,N
268,268,"['procedures', 'number', 'title', 'dry', 'fuel', 'storage', 'campaign', 'guidelines', 'transporting', 'loaded', 'and', 'unloaded', 'mpc', 'preparing', 'for', 'loading', 'mpc', 'handling', 'and', 'fuel', 'loading', 'operations', 'mpc', 'closure', 'operations', 'and', 'transfer', 'of', 'loaded', 'mpc', 'dry', 'cask', 'storage', 'equipment', 'and', 'contingencies', 'guidance', 'procedure', 'to', 'perform', 'closure', 'welds', 'on', 'the', 'mpc', 'and', 'mpc', 'lid', 'mode', 'and', 'shiftly', 'surveillances', 'processing', 'condition', 'reports', 'initiation', 'of', 'condition', 'reports', 'cfr', 'and', 'cfr', 'reviews', 'annual', 'inspection', 'and', 'maintenance', 'dry', 'cask', 'storage', 'equipment', 'and', 'contingencies', 'guidance', 'revision', 'date', 'revision', 'revision', 'revision', 'revision', 'revision', 'revision', 'revision', 'revision', 'revision', 'revision', 'revision', 'revision', 'revision', 'revision']",96.0,0.0,927.0,ML13298A103.txt,1.0,U,N
269,269,"['design', 'basis', 'documents', 'number', 'title', 'cfr', 'evaluation', 'report', 'docket', 'certificate', 'of', 'compliance', 'cask', 'system', 'holtec', 'international', 'final', 'safety', 'analysis', 'report', 'for', 'the', 'cask', 'system', 'revision', 'date', 'revision', 'amendment', 'revision']",98.0,0.0,274.0,ML13298A103.txt,1.0,U,U
282,282,"['loading', 'order', 'mpc', 'serial']",123.0,0.0,55.0,ML13298A103.txt,0.0,U,U
284,284,['serial'],123.0,163.0,173.0,ML13298A103.txt,0.0,U,U
291,291,['serial'],123.0,257.0,271.0,ML13298A103.txt,0.0,U,U
292,292,['serial'],123.0,271.0,285.0,ML13298A103.txt,0.0,U,U
300,300,['attachment'],131.0,0.0,12.0,ML13298A103.txt,0.0,U,U
999,0,"['unite', 'tate']",0.0,0.0,16.0,ML14041A484.txt,0.0,U,U
1012,13,[],13.0,0.0,3.0,ML14041A484.txt,0.0,U,U
1017,18,['heflin'],17.0,0.0,11.0,ML14041A484.txt,0.0,U,U
1018,19,[],19.0,0.0,3.0,ML14041A484.txt,0.0,U,U
1022,23,"['type', 'initials', 'nfo', 'cpeabody', 'rstroble', 'tfarnholtz', 'gmiller', 'vgaddy', 'for', 'not', 'available', 'mhaire', 'hgepford', 'rkellar', 'nokeefe', 'official', 'record', 'copy']",21.0,118.0,478.0,ML14041A484.txt,0.0,U,U
1032,33,"['their', 'aspects', 'are', 'determined', 'using', 'inspection', 'manual', 'chapter', 'within', 'the']",31.0,906.0,1031.0,ML14041A484.txt,0.0,U,U
1034,35,"['the', 'program', 'for', 'overseeing', 'the', 'safe', 'operation', 'of', 'commercial', 'nuclear', 'power', 'reactors', 'is', 'described', 'in', 'oversight']",31.0,1128.0,1273.0,ML14041A484.txt,1.0,U,U
1047,48,"['mitigating', 'systems']",35.0,0.0,41.0,ML14041A484.txt,0.0,U,U
1050,51,"['the', 'licensee', 'remediated', 'and', 'retested', 'the', 'staff', 'prior', 'to', 'returning', 'them', 'to', 'licensed']",35.0,424.0,514.0,ML14041A484.txt,0.0,U,U
1053,54,"['using', 'the', 'inspection', 'manual', 'chapter', 'appendix', 'the', 'inspector', 'determined', 'that', 'the', 'finding', 'was', 'more', 'than', 'minor', 'because', 'the', 'performance', 'deficiency', 'was', 'associated', 'with', 'the', 'mitigating', 'systems', 'cornerstone', 'attribute', 'of', 'human', 'and', 'affected', 'the', 'cornerstone', 'objective', 'of', 'ensuring', 'the', 'and', 'capability', 'of', 'systems', 'that', 'respond', 'to', 'initiating', 'events', 'to', 'prevent', 'undesirable']",35.0,927.0,1362.0,ML14041A484.txt,0.0,U,N
1056,57,"['this', 'finding', 'has', 'crosscutting', 'aspect', 'in', 'the', 'area', 'of', 'human', 'performance', 'associated', 'with', 'because', 'the', 'licensee', 'failed', 'to', 'ensure', 'that', 'personnel', 'were', 'adequately', 'trained', 'to', 'assure', 'nuclear', 'safety']",35.0,1803.0,2013.0,ML14041A484.txt,0.0,N,N
1060,61,"['the', 'licensee', 'eventually', 'determined', 'that', 'the', 'probable', 'cause', 'of', 'the', 'failures', 'was', 'the', 'failure', 'to', 'adequately', 'chemically', 'clean', 'the', 'system', 'following', 'the', 'failure', 'of', 'charcoal', 'in', 'that', 'some', 'charcoal', 'and', 'cleaning', 'agent', 'was', 'not', 'removed', 'following', 'the', 'work']",35.0,2420.0,2682.0,ML14041A484.txt,0.0,N,N
1066,67,[],37.0,0.0,3.0,ML14041A484.txt,0.0,U,U
1073,74,[],41.0,0.0,3.0,ML14041A484.txt,0.0,U,U
1074,75,"['plant', 'status', 'the', 'beginning', 'of', 'the', 'inspection', 'period', 'coincided', 'with', 'the', 'unit', 'being', 'restarted', 'from', 'an', 'unplanned', 'outage', 'to', 'repair', 'class', 'air', 'conditioning']",43.0,0.0,161.0,ML14041A484.txt,0.0,U,N
1076,77,"['the', 'unit', 'restarted', 'on', 'october', 'and', 'operated', 'at', 'full', 'power', 'for', 'the', 'remainder', 'of', 'the', 'inspection']",43.0,269.0,379.0,ML14041A484.txt,0.0,U,U
1078,79,"['reactor', 'safety', 'initiating', 'mitigating', 'and', 'barrier', 'integrity', 'adverse', 'weather', 'protection']",43.0,396.0,534.0,ML14041A484.txt,0.0,U,U
1090,91,"['october', 'high', 'pressure', 'coolant', 'injection', 'train', 'during', 'centrifugal', 'charging', 'pump', 'planned', 'maintenance', 'outage', 'october', 'residual', 'heat', 'removal', 'train', 'during', 'residual', 'heat', 'removal', 'pump', 'planned', 'maintenance', 'outage', 'november', 'emergency', 'diesel', 'generator', 'during', 'emergency', 'diesel', 'generator', 'and', 'essential', 'service', 'water', 'planned', 'maintenance', 'outage']",49.0,0.0,369.0,ML14041A484.txt,0.0,U,U
1098,99,"['for', 'each', 'the', 'inspectors', 'evaluated', 'the', 'fire', 'plan', 'against', 'defined', 'hazards', 'and', 'features', 'in', 'the', 'fire', 'protection']",53.0,0.0,150.0,ML14041A484.txt,0.0,U,U
1102,103,[],55.0,0.0,3.0,ML14041A484.txt,0.0,U,U
1109,110,"['findings', 'no', 'findings', 'were']",59.0,820.0,857.0,ML14041A484.txt,0.0,U,U
1118,119,[],65.0,0.0,3.0,ML14041A484.txt,0.0,U,U
1130,131,"['in', 'the', 'inspectors', 'assessed', 'the', 'adherence', 'to', 'plant', 'including', 'ap', 'conduct', 'of', 'gen', 'hot', 'standby', 'to', 'minimum', 'and', 'other', 'operations', 'department']",73.0,0.0,207.0,ML14041A484.txt,0.0,U,U
1131,132,"['these', 'activities', 'constitute', 'completion', 'of', 'one', 'quarterly', 'licensed', 'operator', 'performance', 'as', 'defined', 'in', 'inspection', 'procedure']",73.0,207.0,348.0,ML14041A484.txt,0.0,U,U
1156,157,"['this', 'finding', 'does', 'not', 'involve', 'enforcement', 'action', 'because', 'no', 'violation', 'of', 'regulatory', 'requirements', 'was']",85.0,613.0,725.0,ML14041A484.txt,0.0,U,U
1159,160,"['maintenance', 'effectiveness']",85.0,1055.0,1099.0,ML14041A484.txt,0.0,U,U
1164,165,"['the', 'inspectors', 'assessed', 'the', 'characterization', 'of', 'the', 'degradation', 'in', 'accordance', 'with', 'cfr', 'maintenance', 'and', 'verified', 'that', 'the', 'licensee', 'was', 'appropriately', 'tracking', 'degraded', 'performance', 'and', 'conditions', 'in', 'accordance', 'with', 'the', 'maintenance']",89.0,284.0,549.0,ML14041A484.txt,0.0,U,N
1167,168,[],93.0,0.0,3.0,ML14041A484.txt,0.0,U,U
1171,172,"['the', 'inspectors', 'verified', 'that', 'these', 'risk', 'assessments', 'were', 'performed', 'timely', 'and', 'in', 'accordance', 'with', 'the', 'requirements', 'of', 'cfr', 'maintenance', 'and', 'plant']",99.0,0.0,174.0,ML14041A484.txt,0.0,U,N
1182,183,"['the', 'inspectors', 'questioned', 'why', 'no', 'risk', 'assessment', 'was', 'and', 'were', 'told']",99.0,1603.0,1680.0,ML14041A484.txt,0.0,U,U
1184,185,"['that', 'operators', 'knew', 'that', 'this', 'was', 'classified', 'as', 'routine', 'task', 'in', 'station', 'procedure', 'ap', 'nuclear', 'safety', 'and', 'generation', 'risk']",103.0,0.0,152.0,ML14041A484.txt,0.0,U,N
1188,189,"['while', 'most', 'switchyard', 'breakers', 'had', 'redundant', 'some', 'including', 'breaker', 'would', 'cause', 'loss', 'of', 'power', 'to', 'certain', 'loads', 'if', 'tripped', 'so', 'the', 'risk', 'for', 'some', 'breakers', 'was', 'more']",103.0,609.0,824.0,ML14041A484.txt,0.0,U,N
1190,191,"['the', 'risk', 'management', 'actions', 'should', 'have', 'included', 'verification', 'of', 'the', 'emergency', 'diesel', 'generator', 'system', 'alignment', 'and', 'the', 'emergency', 'diesel', 'engine', 'room', 'posted', 'as', 'protected', 'equipment', 'for', 'the', 'duration', 'of', 'the', 'switchyard']",103.0,1057.0,1286.0,ML14041A484.txt,0.0,U,N
1191,192,"['on', 'december', 'the', 'inspectors', 'observed', 'second', 'degraded', 'condition', 'in', 'the', 'switchyard', 'was', 'also', 'not']",103.0,1286.0,1401.0,ML14041A484.txt,0.0,U,U
1206,207,"['the', 'resulting', 'actual', 'core', 'damage', 'frequency', 'was']",107.0,486.0,550.0,ML14041A484.txt,0.0,U,U
1210,211,"['the', 'inspectors', 'determined', 'that', 'the', 'finding', 'did', 'not', 'have', 'aspect', 'because', 'the', 'performance', 'deficiency', 'was', 'caused', 'by', 'an', 'inadequate', 'procedure', 'change', 'in', 'which', 'was', 'not', 'representative', 'of', 'current']",107.0,1198.0,1418.0,ML14041A484.txt,0.0,U,N
1212,213,"['cfr', 'requires', 'that', 'performing', 'maintenance', 'the', 'licensee', 'shall', 'assess', 'and', 'manage', 'the', 'increase', 'in', 'risk', 'that', 'may', 'result', 'from', 'the', 'proposed', 'maintenance']",107.0,1430.0,1622.0,ML14041A484.txt,0.0,U,N
1213,214,"['contrary', 'to', 'the', 'on', 'november', 'the', 'licensee', 'failed', 'to', 'assess', 'and', 'manage', 'the', 'increase', 'in', 'risk', 'that', 'may', 'result', 'from', 'the', 'proposed', 'maintenance']",107.0,1622.0,1786.0,ML14041A484.txt,0.0,U,N
1222,223,"['where', 'the', 'licensee', 'determined', 'the', 'degraded', 'ssc', 'to', 'be', 'operable', 'or', 'the', 'inspectors', 'verified', 'that', 'the', 'compensatory', 'measures', 'were', 'appropriate', 'to', 'provide', 'reasonable', 'assurance', 'of', 'operability', 'or']",115.0,92.0,316.0,ML14041A484.txt,0.0,U,N
1224,225,"['these', 'activities', 'constitute', 'completion', 'of', 'five', 'operability', 'and', 'functionality', 'review', 'as', 'defined', 'in', 'inspection', 'procedure']",115.0,469.0,608.0,ML14041A484.txt,0.0,U,U
1230,231,"['the', 'inspectors', 'verified', 'that', 'testing', 'was', 'adequate', 'to', 'establish', 'the', 'functionality', 'of', 'the', 'sscs', 'as']",117.0,278.0,401.0,ML14041A484.txt,0.0,U,N
1233,234,"['findings', 'no', 'findings', 'were']",121.0,129.0,166.0,ML14041A484.txt,0.0,U,U
1240,241,[],125.0,0.0,6.0,ML14041A484.txt,0.0,U,U
1248,249,"['inspection', 'scope', 'the', 'inspectors', 'observed', 'five', 'surveillance', 'tests', 'and', 'reviewed', 'test', 'results', 'to', 'verify', 'that', 'these', 'tests', 'adequately', 'demonstrated', 'that', 'the', 'and', 'components', 'were', 'capable', 'of', 'performing', 'their', 'safety', 'reactor', 'coolant', 'system', 'leak', 'detection', 'may', 'transient', 'event', 'walkdown', 'october', 'reactor', 'coolant', 'system', 'water', 'inventory', 'balance', 'using', 'the', 'plant', 'computer']",129.0,195.0,625.0,ML14041A484.txt,0.0,U,N
1249,250,"['other', 'surveillance', 'october', 'power', 'range', 'adjustment', 'to', 'calorimetric', 'september', 'train', 'motor', 'driven', 'auxiliary', 'feedwater', 'pump', 'discharge', 'check', 'valve', 'confirmatory', 'radiography', 'november', 'pressurizer', 'relief', 'discharge', 'temperature', 'loop', 'channel', 'calibration']",131.0,0.0,286.0,ML14041A484.txt,0.0,U,U
1252,253,"['the', 'inspectors', 'verified', 'that', 'the', 'licensee', 'restored', 'the', 'operability', 'of', 'the', 'affected', 'sscs', 'following']",135.0,234.0,340.0,ML14041A484.txt,0.0,U,U
1256,257,"['inspection', 'scope', 'the', 'inspectors', 'observed', 'the', 'biennial', 'emergency', 'preparedness', 'exercise', 'november', 'to', 'determine', 'if', 'the', 'exercise', 'acceptably', 'tested', 'major', 'elements', 'of', 'the', 'emergency', 'plan', 'and', 'provided', 'opportunities', 'to', 'demonstrate', 'key', 'emergency', 'response', 'organization']",135.0,586.0,870.0,ML14041A484.txt,0.0,U,N
1258,259,"['to', 'demonstrate', 'the', 'licensee', 'capability', 'to', 'implement', 'their', 'emergency']",137.0,0.0,85.0,ML14041A484.txt,1.0,U,U
1267,268,"['these', 'activities', 'constitute', 'completion', 'of', 'one', 'sample', 'as', 'defined', 'in', 'inspection', 'procedure']",141.0,1344.0,1447.0,ML14041A484.txt,0.0,U,U
1271,272,"['the', 'licensee', 'determined', 'that', 'in', 'accordance', 'with', 'cfr', 'the', 'changes', 'made', 'in', 'the', 'revisions', 'resulted', 'in', 'no', 'reduction', 'in', 'the', 'effectiveness', 'of', 'the', 'and', 'that', 'the', 'revised', 'plan', 'continued', 'to', 'meet', 'the', 'requirements', 'of', 'cfr', 'and', 'appendix', 'to', 'cfr', 'part']",141.0,1826.0,2097.0,ML14041A484.txt,1.0,U,N
1278,279,"['maintenance', 'of', 'emergency', 'preparedness']",145.0,29.0,85.0,ML14041A484.txt,0.0,U,U
1279,280,"['inspection', 'scope', 'the', 'inspectors', 'performed', 'an', 'and', 'review', 'of', 'the', 'response', 'to', 'condition', 'report', 'dated', 'january', 'which', 'documented', 'potential', 'inaccuracy', 'in', 'the', 'emergency', 'dose', 'assessment', 'program', 'identified', 'during', 'an', 'exercise', 'conducted', 'november']",145.0,85.0,379.0,ML14041A484.txt,1.0,U,U
1280,281,['findings'],145.0,379.0,401.0,ML14041A484.txt,0.0,U,U
