,class,end_pos,file,line,start_pos,text,type,Y,Predicted_Values
37,O,1574,ML13308A903.txt,31,1228.0,"['severity', 'level', 'iv', 'ncv', 'of', 'cfr', 'update', 'of', 'the', 'final', 'safety', 'analysis', 'and', 'an', 'accompanying', 'green', 'finding', 'were', 'identified', 'by', 'the', 'inspectors', 'for', 'the', 'failure', 'to', 'update', 'the', 'updated', 'final', 'safety', 'analysis', 'report', 'for', 'design', 'modification', 'performed', 'on', 'the', 'unit', 'reactor', 'water', 'cleanup']",1.0,N,N
42,U,2540,ML13308A903.txt,31,2388.0,"['in', 'the', 'licensee', 'reviewed', 'all', 'affected', 'calculations', 'to', 'ensure', 'no', 'nonconservative', 'outcomes', 'resulted', 'based', 'on', 'the', 'design', 'modifications']",0.0,U,N
45,U,3347,ML13308A903.txt,31,3023.0,"['the', 'inspectors', 'completed', 'phase', 'significance', 'determination', 'of', 'this', 'issue', 'using', 'imc', 'determination', 'attachment', 'characterization', 'of', 'dated', 'july', 'and', 'imc', 'appendix', 'significance', 'determination', 'process', 'for', 'findings', 'dated', 'july']",0.0,U,U
46,U,3524,ML13308A903.txt,31,3347.0,"['the', 'inspectors', 'answered', 'no', 'to', 'all', 'questions', 'in', 'exhibit', 'section', 'sscs', 'and', 'therefore', 'the', 'finding', 'screened', 'as', 'green', 'low', 'safety']",0.0,U,U
48,U,467,ML13308A903.txt,33,0.0,"['section', 'of', 'the', 'nrc', 'enforcement', 'this', 'violation', 'is', 'categorized', 'as', 'severity', 'level', 'iv', 'because', 'the', 'information', 'was', 'not', 'used', 'to', 'make', 'an', 'unacceptable', 'change', 'to', 'the', 'facility', 'or', 'procedures', 'since', 'the', 'design', 'changes', 'did', 'not', 'result', 'in', 'reduction', 'of', 'the', 'previous', 'margin', 'to', 'the', 'cfr', 'guidelines', 'nor', 'did', 'they', 'challenge', 'the', 'environmental', 'quality', 'rating', 'of', 'safety', 'related', 'components', 'in', 'the', 'vicinity', 'of', 'the', 'rwcu', 'system', 'during', 'helb', 'event', 'outside', 'of']",0.0,U,U
52,U,1078,ML13308A903.txt,33,995.0,"['this', 'violation', 'and', 'cap', 'tracking', 'numbers', 'are', 'listed', 'in', 'section', 'of', 'this']",0.0,U,U
53,U,1,ML13308A903.txt,35,0.0,[],0.0,U,U
54,U,9,ML13308A903.txt,37,0.0,['enclosure'],0.0,U,U
56,U,223,ML13308A903.txt,39,164.0,"['operators', 'restored', 'power', 'to', 'percent', 'on', 'august']",0.0,U,U
59,U,618,ML13308A903.txt,39,518.0,"['power', 'was', 'reduced', 'to', 'as', 'low', 'as', 'percent', 'during', 'this', 'period', 'of', 'warm', 'weather', 'and', 'two', 'pump']",0.0,U,U
60,U,680,ML13308A903.txt,39,618.0,"['on', 'september', 'operators', 'restored', 'power', 'to']",0.0,U,U
67,U,1535,ML13308A903.txt,39,1375.0,"['external', 'flooding', 'inspection', 'scope', 'the', 'inspectors', 'observed', 'the', 'reasonable', 'simulation', 'of', 'the', 'deployment', 'of', 'segment', 'of', 'the', 'aqua', 'dam', 'on', 'july']",0.0,U,U
69,U,2051,ML13308A903.txt,39,1720.0,"['in', 'the', 'inspectors', 'reviewed', 'the', 'lessons', 'learned', 'document', 'and', 'the', 'extrapolated', 'timeline', 'estimate', 'for', 'full', 'deployment', 'of', 'the', 'aqua', 'dam', 'based', 'on', 'the', 'time', 'to', 'fill', 'and', 'overlap', 'sections', 'derived', 'from', 'multiple', 'reasonable', 'simulation', 'activities', 'performed', 'by', 'the', 'licensee', 'during', 'the', 'week', 'of', 'july']",0.0,U,U
72,U,3,ML13308A903.txt,41,0.0,[],0.0,U,U
73,U,37,ML13308A903.txt,43,0.0,"['findings', 'no', 'findings', 'were']",0.0,U,U
76,U,147,ML13308A903.txt,47,0.0,"['the', 'inspectors', 'selected', 'these', 'systems', 'based', 'on', 'their', 'risk', 'significance', 'relative', 'to', 'the', 'reactor', 'safety', 'cornerstones', 'at', 'the', 'time', 'they', 'were']",0.0,U,U
77,U,289,ML13308A903.txt,47,147.0,"['the', 'inspectors', 'attempted', 'to', 'identify', 'any', 'discrepancies', 'that', 'could', 'impact', 'the', 'function', 'of', 'the', 'system', 'potentially', 'increase']",0.0,U,N
84,U,1485,ML13308A903.txt,47,1448.0,"['findings', 'no', 'findings', 'were']",0.0,U,U
86,U,1731,ML13308A903.txt,47,1490.0,"['complete', 'system', 'walkdown', 'inspection', 'scope', 'from', 'september', 'the', 'inspectors', 'performed', 'complete', 'system', 'alignment', 'inspection', 'of', 'the', 'unit', 'control', 'rod', 'drive', 'system', 'to', 'verify', 'the', 'functional', 'capability', 'of', 'the', 'enclosure']",0.0,U,U
91,U,857,ML13308A903.txt,49,703.0,"['in', 'the', 'inspectors', 'reviewed', 'the', 'cap', 'database', 'to', 'ensure', 'that', 'system', 'equipment', 'alignment', 'problems', 'were', 'being', 'identified', 'and', 'appropriately']",0.0,U,U
92,U,920,ML13308A903.txt,49,857.0,"['documents', 'reviewed', 'are', 'listed', 'in', 'the', 'attachment', 'to', 'this']",0.0,U,U
93,U,1017,ML13308A903.txt,49,920.0,"['these', 'activities', 'constituted', 'one', 'complete', 'system', 'walkdown', 'sample', 'as', 'defined', 'in', 'ip']",0.0,U,U
94,U,1054,ML13308A903.txt,49,1017.0,"['findings', 'no', 'findings', 'were']",0.0,U,U
95,U,1091,ML13308A903.txt,49,1054.0,"['fire', 'protection']",0.0,U,U
98,U,857,ML13308A903.txt,51,497.0,"['the', 'inspectors', 'selected', 'fire', 'areas', 'based', 'on', 'their', 'overall', 'contribution', 'to', 'internal', 'fire', 'risk', 'as', 'documented', 'in', 'the', 'individual', 'plant', 'examination', 'of', 'external', 'events', 'with', 'later', 'additional', 'their', 'potential', 'to', 'impact', 'equipment', 'which', 'could', 'initiate', 'or', 'mitigate', 'plant', 'or', 'their', 'impact', 'on', 'the', 'ability', 'to', 'respond', 'to', 'security']",0.0,U,U
99,U,1214,ML13308A903.txt,51,857.0,"['using', 'the', 'documents', 'listed', 'in', 'the', 'attachment', 'to', 'this', 'the', 'inspectors', 'verified', 'that', 'fire', 'hoses', 'and', 'extinguishers', 'were', 'in', 'their', 'designated', 'locations', 'and', 'available', 'for', 'immediate', 'that', 'fire', 'detectors', 'and', 'sprinklers', 'were', 'that', 'transient', 'material', 'loading', 'was', 'within', 'the', 'analyzed', 'and', 'fire', 'and', 'penetration', 'enclosure']",0.0,U,N
101,U,165,ML13308A903.txt,53,48.0,"['the', 'inspectors', 'also', 'verified', 'that', 'minor', 'issues', 'identified', 'during', 'the', 'inspection', 'were', 'entered', 'into', 'the']",0.0,U,U
102,U,228,ML13308A903.txt,53,165.0,"['documents', 'reviewed', 'are', 'listed', 'in', 'the', 'attachment', 'to', 'this']",0.0,U,U
104,U,376,ML13308A903.txt,53,339.0,"['findings', 'no', 'findings', 'were']",0.0,U,U
106,U,628,ML13308A903.txt,53,406.0,"['internal', 'flooding', 'inspection', 'scope', 'the', 'inspectors', 'reviewed', 'selected', 'risk', 'important', 'plant', 'design', 'features', 'and', 'licensee', 'procedures', 'intended', 'to', 'protect', 'the', 'plant', 'and', 'its', 'equipment', 'from', 'internal', 'flooding']",0.0,U,U
110,U,1342,ML13308A903.txt,53,1136.0,"['the', 'inspectors', 'also', 'reviewed', 'the', 'corrective', 'action', 'documents', 'with', 'respect', 'to', 'past', 'items', 'identified', 'in', 'the', 'corrective', 'action', 'program', 'to', 'verify', 'the', 'adequacy', 'of', 'the', 'corrective']",0.0,U,U
116,U,571,ML13308A903.txt,57,50.0,"['the', 'inspectors', 'evaluated', 'the', 'following', 'licensed', 'operator', 'clarity', 'and', 'formality', 'of', 'ability', 'to', 'take', 'timely', 'actions', 'in', 'the', 'conservative', 'and', 'verification', 'of', 'annunciator', 'correct', 'use', 'and', 'implementation', 'of', 'abnormal', 'and', 'emergency', 'control', 'board', 'oversight', 'and', 'direction', 'from', 'and', 'ability', 'to', 'identify', 'and', 'implement', 'appropriate', 'ts', 'actions', 'and', 'emergency', 'plan', 'actions', 'and']",0.0,U,N
119,U,346,ML13308A903.txt,59,215.0,"['this', 'inspection', 'constituted', 'two', 'quarterly', 'licensed', 'operator', 'requalification', 'program', 'simulator', 'samples', 'as', 'defined', 'in', 'ip']",0.0,U,U
120,U,383,ML13308A903.txt,59,346.0,"['findings', 'no', 'findings', 'were']",0.0,U,U
122,U,722,ML13308A903.txt,59,632.0,"['this', 'was', 'an', 'activity', 'that', 'required', 'heightened', 'awareness', 'and', 'was', 'related', 'to', 'increased']",0.0,U,U
123,U,1267,ML13308A903.txt,59,722.0,"['the', 'inspectors', 'evaluated', 'the', 'following', 'licensed', 'operator', 'clarity', 'and', 'formality', 'of', 'ability', 'to', 'take', 'timely', 'actions', 'in', 'the', 'conservative', 'and', 'verification', 'of', 'annunciator', 'alarms', 'correct', 'use', 'and', 'implementation', 'of', 'control', 'board', 'oversight', 'and', 'direction', 'from', 'and', 'ability', 'to', 'identify', 'and', 'implement', 'appropriate', 'ts', 'actions', 'and', 'emergency', 'plan', 'actions', 'and', 'notifications']",0.0,U,U
124,U,148,ML13308A903.txt,61,0.0,"['the', 'performance', 'in', 'these', 'areas', 'was', 'compared', 'to', 'operator', 'action', 'procedural', 'compliance', 'and', 'task', 'completion']",0.0,U,U
128,U,3,ML13308A903.txt,63,0.0,[],0.0,U,U
129,U,37,ML13308A903.txt,65,0.0,"['findings', 'no', 'findings', 'were']",0.0,U,U
132,U,921,ML13308A903.txt,69,0.0,"['the', 'inspectors', 'reviewed', 'events', 'such', 'as', 'where', 'ineffective', 'equipment', 'maintenance', 'had', 'resulted', 'in', 'valid', 'or', 'invalid', 'automatic', 'actuations', 'of', 'engineered', 'safeguards', 'systems', 'and', 'independently', 'verified', 'the', 'actions', 'to', 'address', 'system', 'performance', 'or', 'condition', 'problems', 'in', 'terms', 'of', 'the', 'implementing', 'appropriate', 'work', 'identifying', 'and', 'addressing', 'common', 'cause', 'scoping', 'of', 'systems', 'in', 'accordance', 'with', 'cfr', 'of', 'the', 'maintenance', 'characterizing', 'system', 'reliability', 'issues', 'for', 'charging', 'unavailability', 'for', 'trending', 'key', 'parameters', 'for', 'condition', 'ensuring', 'cfr', 'or', 'classification', 'or', 'and', 'verifying', 'appropriate', 'performance', 'criteria', 'for', 'and', 'components', 'classified', 'as', 'or', 'appropriate', 'and', 'adequate', 'goals', 'and', 'corrective', 'actions', 'for', 'systems', 'classified', 'as']",0.0,U,U
134,U,276,ML13308A903.txt,71,129.0,"['in', 'the', 'inspectors', 'verified', 'maintenance', 'effectiveness', 'issues', 'were', 'entered', 'into', 'the', 'cap', 'with', 'the', 'appropriate', 'significance']",0.0,U,U
135,U,339,ML13308A903.txt,71,276.0,"['documents', 'reviewed', 'are', 'listed', 'in', 'the', 'attachment', 'to', 'this']",0.0,U,U
140,U,77,ML13308A903.txt,77,0.0,"['maintenance', 'risk', 'assessments', 'and', 'emergent', 'work', 'control']",0.0,U,U
142,U,118,ML13308A903.txt,79,0.0,"['these', 'activities', 'were', 'selected', 'based', 'on', 'their', 'potential', 'risk', 'significance', 'relative', 'to', 'the', 'reactor', 'safety']",0.0,U,U
144,U,391,ML13308A903.txt,79,277.0,"['when', 'emergent', 'work', 'was', 'the', 'inspectors', 'verified', 'that', 'the', 'plant', 'risk', 'was', 'promptly', 'reassessed', 'and']",0.0,U,N
147,U,918,ML13308A903.txt,79,832.0,"['documents', 'reviewed', 'during', 'this', 'inspection', 'are', 'listed', 'in', 'the', 'attachment', 'to', 'this']",0.0,U,U
150,U,30,ML13308A903.txt,79,1084.0,"['operability', 'determinations', 'and', 'functional', 'assessments', 'operability', 'evaluations', 'inspection', 'scope', 'the', 'inspectors', 'reviewed', 'the', 'following', 'ccsw', 'check', 'valve', 'slow', 'to', 'reposition', 'for', 'emergency', 'core', 'cooling', 'system', 'room', 'coolers']",0.0,U,U
151,U,1,ML13308A903.txt,81,0.0,[],0.0,U,U
155,U,131,ML13308A903.txt,89,0.0,"['the', 'inspectors', 'selected', 'these', 'potential', 'operability', 'issues', 'based', 'on', 'the', 'risk', 'significance', 'of', 'the', 'associated', 'components', 'and']",0.0,U,U
159,U,851,ML13308A903.txt,89,736.0,"['the', 'inspectors', 'where', 'compliance', 'with', 'bounding', 'limitations', 'associated', 'with', 'the']",0.0,U,U
160,U,1047,ML13308A903.txt,89,851.0,"['the', 'inspectors', 'reviewed', 'sampling', 'of', 'corrective', 'action', 'documents', 'to', 'verify', 'that', 'the', 'licensee', 'was', 'identifying', 'and', 'correcting', 'any', 'deficiencies', 'associated', 'with', 'operability']",0.0,U,U
161,U,1110,ML13308A903.txt,89,1047.0,"['documents', 'reviewed', 'are', 'listed', 'in', 'the', 'attachment', 'to', 'this']",0.0,U,U
162,U,1195,ML13308A903.txt,89,1110.0,"['this', 'operability', 'inspection', 'constituted', 'five', 'samples', 'as', 'defined', 'in', 'ip']",0.0,U,U
170,U,345,ML13308A903.txt,93,96.0,"['during', 'coast', 'down', 'periods', 'at', 'the', 'end', 'of', 'an', 'operating', 'cycle', 'or', 'if', 'feedwater', 'heater', 'string', 'is', 'isolated', 'at', 'fwtr', 'would', 'enable', 'the', 'licensee', 'to', 'operate', 'at', 'greater', 'than', 'and', 'up', 'to', 'below', 'nominal', 'feedwater', 'temperature']",0.0,U,U
176,U,1561,ML13308A903.txt,93,1312.0,"['the', 'inspectors', 'noted', 'that', 'the', 'system', 'as', 'documented', 'in', 'ufsar', 'section', 'water', 'cleanup', 'incorrectly', 'reported', 'the', 'design', 'and', 'operation', 'of', 'the', 'unit', 'rwcu', 'system', 'as', 'that', 'of', 'which', 'the', 'major']",0.0,U,U
180,U,2217,ML13308A903.txt,93,2122.0,"['in', 'addition', 'the', 'licensee', 'continued', 'its', 'analysis', 'of', 'fwtr', 'on', 'rwcu', 'and', 'instrument', 'line', 'break']",0.0,U,U
181,U,2403,ML13308A903.txt,93,2217.0,"['results', 'indicated', 'that', 'additional', 'energy', 'released', 'during', 'these', 'events', 'would', 'not', 'challenge', 'the', 'eq', 'rating', 'of', 'safety', 'related', 'components', 'in', 'the', 'reactor', 'building', 'or', 'cfr', 'release']",0.0,U,N
184,O,3052,ML13308A903.txt,93,2835.0,"['failure', 'to', 'update', 'the', 'ufsar', 'with', 'the', 'actual', 'rwcu', 'system', 'configuration', 'prevented', 'the', 'inspectors', 'from', 'readily', 'concluding', 'that', 'the', 'design', 'change', 'would', 'not', 'require', 'additional', 'calculational', 'analyses', 'for']",1.0,N,U
186,U,3427,ML13308A903.txt,93,3244.0,"['this', 'violation', 'is', 'associated', 'with', 'finding', 'that', 'has', 'been', 'evaluated', 'by', 'the', 'sdp', 'and', 'communicated', 'with', 'sdp', 'color', 'reflective', 'of', 'the', 'safety', 'impact', 'of', 'the', 'deficient', 'licensee']",0.0,U,U
189,U,94,ML13308A903.txt,95,0.0,"['regulatory', 'importance', 'of', 'the', 'violation', 'and', 'the', 'safety', 'significance', 'of', 'the', 'associated']",0.0,U,U
192,U,1080,ML13308A903.txt,95,595.0,"['in', 'accordance', 'with', 'section', 'of', 'the', 'nrc', 'enforcement', 'this', 'violation', 'is', 'categorized', 'as', 'severity', 'level', 'iv', 'because', 'the', 'information', 'was', 'not', 'used', 'to', 'make', 'an', 'unacceptable', 'change', 'to', 'the', 'facility', 'or', 'procedures', 'since', 'the', 'design', 'changes', 'did', 'not', 'result', 'in', 'reduction', 'of', 'the', 'previous', 'margin', 'to', 'the', 'cfr', 'guidelines', 'nor', 'did', 'they', 'challenge', 'the', 'environmental', 'quality', 'rating', 'of', 'safety', 'related', 'components', 'in', 'the', 'vicinity', 'of', 'the', 'rwcu', 'system', 'during', 'helb', 'event', 'outside', 'of']",0.0,U,U
193,U,1328,ML13308A903.txt,95,1080.0,"['the', 'inspectors', 'determined', 'that', 'this', 'finding', 'did', 'not', 'reflect', 'present', 'performance', 'because', 'it', 'is', 'legacy', 'issue', 'with', 'changes', 'made', 'to', 'the', 'facility', 'more', 'than', 'years', 'there', 'was', 'no', 'cross', 'cutting', 'aspect', 'associated', 'with', 'this']",0.0,U,U
194,U,1634,ML13308A903.txt,95,1328.0,"['title', 'cfr', 'requires', 'in', 'that', 'licensees', 'shall', 'periodically', 'update', 'the', 'final', 'safety', 'analysis', 'report', 'originally', 'submitted', 'as', 'part', 'of', 'the', 'application', 'for', 'the', 'operating', 'to', 'assure', 'that', 'the', 'information', 'included', 'in', 'the', 'report', 'contains', 'the', 'latest', 'information']",0.0,U,U
196,O,2118,ML13308A903.txt,95,1955.0,"['contrary', 'to', 'the', 'from', 'until', 'august', 'the', 'licensee', 'did', 'not', 'update', 'the', 'ufsar', 'for', 'the', 'and', 'characteristics', 'of', 'the', 'unit', 'rwcu']",1.0,N,N
200,U,2982,ML13308A903.txt,95,2610.0,"['because', 'this', 'violation', 'was', 'of', 'very', 'low', 'safety', 'was', 'not', 'repetitive', 'or', 'and', 'was', 'entered', 'into', 'the', 'cap', 'as', 'ir', 'this', 'violation', 'is', 'being', 'treated', 'as', 'severity', 'level', 'iv', 'consistent', 'with', 'section', 'of', 'the', 'nrc', 'enforcement', 'policy', 'iv', 'to', 'update', 'the', 'ufsar', 'for', 'rwcu', 'design']",0.0,U,U
202,U,3301,ML13308A903.txt,95,3141.0,"['in', 'the', 'licensee', 'reviewed', 'all', 'affected', 'calculations', 'to', 'ensure', 'no', 'outcomes', 'were', 'determined', 'based', 'on', 'the', 'design', 'modifications']",0.0,U,N
208,U,709,ML13308A903.txt,103,272.0,"['the', 'as', 'observed', 'ongoing', 'and', 'completed', 'work', 'activities', 'to', 'ensure', 'that', 'the', 'modifications', 'were', 'installed', 'as', 'directed', 'and', 'consistent', 'with', 'the', 'design', 'control', 'the', 'modifications', 'operated', 'as', 'testing', 'adequately', 'demonstrated', 'continued', 'system', 'and', 'and', 'that', 'operation', 'of', 'the', 'modifications', 'did', 'not', 'impact', 'the', 'operability', 'of', 'any', 'interfacing']",0.0,U,U
214,U,1904,ML13308A903.txt,103,1275.0,"['testing', 'testing', 'inspection', 'scope', 'the', 'inspectors', 'reviewed', 'the', 'following', 'activities', 'to', 'verify', 'that', 'procedures', 'and', 'test', 'activities', 'were', 'adequate', 'to', 'ensure', 'system', 'operability', 'and', 'functional', 'wo', 'diesel', 'fire', 'pump', 'exhaust', 'at', 'the', 'roof', 'wo', 'pmt', 'tsc', 'compressor', 'support', 'ventilation', 'wo', 'pm', 'isco', 'makeup', 'pump', 'diesel', 'engine', 'wo', 'perform', 'repair', 'of', 'ccsw', 'piping', 'line', 'and', 'enclosure']",0.0,U,U
220,U,1277,ML13308A903.txt,109,997.0,"['in', 'the', 'inspectors', 'reviewed', 'corrective', 'action', 'documents', 'associated', 'with', 'tests', 'to', 'determine', 'whether', 'the', 'licensee', 'was', 'identifying', 'problems', 'and', 'entering', 'them', 'in', 'the', 'cap', 'and', 'that', 'the', 'problems', 'were', 'being', 'corrected', 'commensurate', 'with', 'their', 'importance', 'to']",0.0,U,U
224,U,2341,ML13308A903.txt,109,2008.0,"['during', 'review', 'of', 'the', 'repair', 'and', 'replacement', 'plan', 'under', 'wo', 'for', 'the', 'repair', 'of', 'leak', 'identified', 'by', 'the', 'licensee', 'on', 'ccsw', 'the', 'inspectors', 'identified', 'uri', 'associated', 'with', 'the', 'interpretation', 'of', 'defect', 'removal', 'requirements', 'as', 'described', 'in', 'asme', 'section', 'paragraph', 'iwa']",0.0,U,U
227,U,2763,ML13308A903.txt,109,2643.0,"['paragraph', 'iwa', 'does', 'not', 'specifically', 'define', 'what', 'is', 'considered', 'the', 'for', 'repairs', 'involving']",0.0,U,U
233,U,223,ML13308A903.txt,111,10.0,"['the', 'new', 'pressure', 'boundary', 'was', 'the', 'seal', 'weld', 'around', 'this', 'branched', 'connection', 'and', 'some', 'areas', 'of', 'this', 'seal', 'weld', 'lie', 'over', 'base', 'pipe', 'material', 'that', 'has', 'wall', 'thickness', 'below', 'nominal', 'but', 'above', 'minimum', 'design']",0.0,U,U
234,U,389,ML13308A903.txt,111,223.0,"['the', 'inspectors', 'did', 'not', 'have', 'an', 'immediate', 'safety', 'concern', 'with', 'the', 'repairs', 'because', 'the', 'wall', 'thickness', 'under', 'the', 'seal', 'weld', 'was', 'still', 'above', 'minimum', 'design', 'wall']",0.0,U,N
240,U,1701,ML13308A903.txt,111,1363.0,"['other', 'outage', 'activities', 'inspection', 'scope', 'from', 'july', 'through', 'august', 'the', 'inspectors', 'reviewed', 'the', 'control', 'of', 'heavy', 'loads', 'program', 'in', 'accordance', 'with', 'the', 'operating', 'experience', 'smart', 'sample', 'revision', 'and', 'heavy', 'lift', 'supplemental', 'guidance', 'for', 'inspection', 'procedure']",0.0,U,U
243,U,2638,ML13308A903.txt,111,1838.0,"['reviewed', 'the', 'submittals', 'and', 'commitments', 'related', 'to', 'generic', 'letters', 'and', 'of', 'heavy', 'reviewed', 'documents', 'supporting', 'the', 'classification', 'of', 'the', 'reactor', 'building', 'crane', 'as', 'single', 'failure', 'reviewed', 'the', 'reactor', 'building', 'crane', 'preventative', 'maintenance', 'program', 'reviewed', 'sample', 'of', 'recent', 'crane', 'inspection', 'reviewed', 'sample', 'of', 'calculations', 'and', 'records', 'of', 'inspection', 'testing', 'for', 'the', 'reactor', 'pressure', 'vessel', 'head', 'and', 'the', 'steam', 'special', 'lifting', 'reviewed', 'reactor', 'disassembly', 'and', 'sampling', 'of', 'other', 'procedures', 'for', 'consistency', 'with', 'the', 'commitments', 'related', 'to', 'movement', 'of', 'heavy', 'and', 'reviewed', 'sample', 'of', 'condition', 'reports', 'related', 'to', 'loads', 'in']",0.0,U,U
244,U,86,ML13308A903.txt,113,0.0,"['this', 'inspection', 'constituted', 'one', 'outage', 'activities', 'sample', 'as', 'defined', 'in', 'ip']",0.0,U,U
246,U,9,ML13308A903.txt,117,0.0,['enclosure'],0.0,U,U
252,U,5,ML13308A903.txt,127,0.0,[],0.0,U,U
253,U,2,ML13308A903.txt,129,0.0,[],0.0,U,U
255,U,12,ML13308A903.txt,133,0.0,[],0.0,U,U
256,P,845,ML13308A903.txt,135,0.0,"['where', 'test', 'results', 'not', 'meeting', 'acceptance', 'criteria', 'were', 'addressed', 'with', 'an', 'adequate', 'operability', 'evaluation', 'or', 'the', 'system', 'or', 'component', 'was', 'declared', 'where', 'applicable', 'for', 'instrument', 'control', 'surveillance', 'reference', 'setting', 'data', 'were', 'accurately', 'incorporated', 'in', 'the', 'test', 'where', 'actual', 'conditions', 'encountering', 'high', 'resistance', 'electrical', 'contacts', 'were', 'such', 'that', 'the', 'intended', 'safety', 'function', 'could', 'still', 'be', 'prior', 'procedure', 'changes', 'had', 'not', 'provided', 'an', 'opportunity', 'to', 'identify', 'problems', 'encountered', 'during', 'the', 'performance', 'of', 'the', 'surveillance', 'or', 'calibration', 'equipment', 'was', 'returned', 'to', 'position', 'or', 'status', 'required', 'to', 'support', 'the', 'performance', 'of', 'its', 'safety', 'and', 'all', 'problems', 'identified', 'during', 'the', 'testing', 'were', 'appropriately', 'documented', 'and', 'dispositioned', 'in', 'the']",1.0,N,N
257,U,63,ML13308A903.txt,137,0.0,"['documents', 'reviewed', 'are', 'listed', 'in', 'the', 'attachment', 'to', 'this']",0.0,U,U
258,U,219,ML13308A903.txt,137,63.0,"['this', 'inspection', 'constituted', 'three', 'routine', 'surveillance', 'testing', 'and', 'one', 'inservice', 'testing', 'sample', 'as', 'defined', 'in', 'ip', 'sections', 'and']",0.0,U,U
260,U,258,ML13308A903.txt,137,256.0,[],0.0,U,U
261,U,466,ML13308A903.txt,137,258.0,"['radiation', 'safety', 'radioactive', 'solid', 'waste', 'processing', 'and', 'radioactive', 'material', 'and', 'transportation', 'this', 'inspection', 'constituted', 'one', 'complete', 'sample', 'as', 'defined', 'in', 'ip']",0.0,U,U
262,U,471,ML13308A903.txt,137,466.0,[],0.0,U,U
